Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	1.05	0.105
2	14.4	1.43	0.0992
3	20.7	2.04	0.0986
4	29.8	2.82	0.0948
5	42.8	3.92	0.0915
6	61.6	5.45	0.0884
7	88.6	7.62	0.086
8	127	10.6	0.0835
9	183	14.8	0.0808
10	264	20.7	0.0784
11	379	28.9	0.0761
12	546	40.9	0.075
13	785	58.5	0.0746
14	1,130	83.8	0.0743
15	1,620	121	0.0742
16	2,340	173	0.0742
17	3,360	249	0.0742
18	4,830	357	0.0738
19	6,950	506	0.0728
20	10,000	377	0.0377
