Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	0.567	0.0567
2	14.4	0.765	0.0532
3	20.7	1.09	0.0529
4	29.8	1.56	0.0524
5	42.8	2.32	0.0542
6	61.6	3.33	0.0541
7	88.6	4.78	0.054
8	127	6.87	0.0539
9	183	9.87	0.0538
10	264	14.2	0.0538
11	379	20.4	0.0537
12	546	29.3	0.0536
13	785	42.1	0.0536
14	1,130	60.5	0.0536
15	1,620	87	0.0536
16	2,340	126	0.0538
17	3,360	182	0.0542
18	4,830	263	0.0544
19	6,950	378	0.0543
20	10,000	539	0.0539
