Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	1.44	0.144
2	14.4	1.91	0.133
3	20.7	2.53	0.122
4	29.8	3.39	0.114
5	42.8	4.54	0.106
6	61.6	6.15	0.0999
7	88.6	8.35	0.0943
8	127	11.4	0.0897
9	183	15.7	0.0859
10	264	21.8	0.0827
11	379	30.5	0.0803
12	546	42.7	0.0782
13	785	60.3	0.0768
14	1,130	86.1	0.0763
15	1,620	126	0.0776
16	2,340	180	0.0772
17	3,360	257	0.0766
18	4,830	366	0.0758
19	6,950	519	0.0747
20	10,000	728	0.0728
