Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	0.531	0.0531
2	14.4	0.719	0.05
3	20.7	1.02	0.0495
4	29.8	1.46	0.049
5	42.8	2.18	0.0509
6	61.6	3.13	0.0508
7	88.6	4.5	0.0508
8	127	6.45	0.0507
9	183	9.28	0.0506
10	264	13.3	0.0506
11	379	19.2	0.0505
12	546	27.5	0.0505
13	785	39.5	0.0504
14	1,130	56.8	0.0503
15	1,620	81.7	0.0503
16	2,340	117	0.0503
17	3,360	169	0.0502
18	4,830	242	0.0501
19	6,950	346	0.0498
20	10,000	491	0.0491
