Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	0.709	0.0709
2	13.5	0.883	0.0654
3	18.2	1.17	0.0643
4	24.6	1.57	0.0638
5	33.2	2.19	0.0659
6	44.9	2.94	0.0655
7	60.6	3.96	0.0655
8	81.8	5.33	0.0652
9	110	7.17	0.0649
10	149	9.64	0.0647
11	201	13	0.0645
12	272	17.5	0.0644
13	367	23.6	0.0643
14	495	31.8	0.0642
15	669	42.9	0.0641
16	903	58.1	0.0643
17	1,220	78.8	0.0646
18	1,650	107	0.0648
19	2,220	144	0.0648
20	3,000	194	0.0648
