"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000466","0.189","0.269","1.01"
"2","0.00000479","0.302","0.427","1"
"3","0.00000492","0.342","0.483","0.998"
"4","0.00000497","0.344","0.485","0.997"
"5","0.00000506","0.343","0.484","0.996"
"6","0.00000516","0.346","0.486","0.995"
"7","0.00000524","0.346","0.487","0.995"
"8","0.00000535","0.348","0.488","0.993"
"9","0.00000544","0.344","0.484","0.994"
"10","0.00000555","0.344","0.483","0.992"
"11","0.00000565","0.344","0.483","0.992"
"12","0.00000575","0.346","0.485","0.992"
"13","0.00000587","0.347","0.487","0.991"
"14","0.00000597","0.349","0.489","0.991"
"15","0.00000608","0.35","0.49","0.991"
"16","0.0000062","0.348","0.487","0.99"
"17","0.00000631","0.344","0.482","0.99"
"18","0.00000643","0.344","0.481","0.989"
"19","0.00000655","0.342","0.479","0.99"
"20","0.00000667","0.344","0.481","0.989"
"21","0.00000679","0.344","0.482","0.989"
"22","0.00000691","0.338","0.473","0.989"
"23","0.00000704","0.338","0.472","0.988"
"24","0.00000718","0.335","0.468","0.988"
"25","0.00000731","0.329","0.459","0.987"
"26","0.00000743","0.323","0.452","0.988"
"27","0.00000758","0.321","0.448","0.987"
"28","0.00000772","0.319","0.446","0.987"
"29","0.00000787","0.321","0.448","0.987"
"30","0.00000802","0.32","0.447","0.986"
"31","0.00000816","0.314","0.438","0.986"
"32","0.00000831","0.317","0.442","0.987"
"33","0.00000847","0.321","0.447","0.986"
"34","0.00000862","0.323","0.45","0.985"
"35","0.00000878","0.322","0.449","0.985"
"36","0.00000894","0.32","0.445","0.984"
"37","0.00000912","0.32","0.445","0.984"
"38","0.00000928","0.319","0.444","0.984"
"39","0.00000945","0.317","0.441","0.984"
"40","0.00000963","0.319","0.443","0.983"
"41","0.0000098","0.315","0.438","0.983"
"42","0.00000998","0.315","0.437","0.983"
"43","0.0000102","0.315","0.437","0.982"
"44","0.0000103","0.313","0.435","0.983"
"45","0.0000105","0.311","0.432","0.983"
