"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000466","0.236","0.335","1"
"2","0.00000485","0.348","0.491","0.999"
"3","0.00000488","0.344","0.485","0.998"
"4","0.00000496","0.346","0.488","0.997"
"5","0.00000507","0.348","0.491","0.997"
"6","0.00000516","0.35","0.493","0.995"
"7","0.00000525","0.353","0.497","0.994"
"8","0.00000535","0.355","0.498","0.994"
"9","0.00000544","0.356","0.5","0.993"
"10","0.00000555","0.356","0.5","0.993"
"11","0.00000565","0.356","0.499","0.992"
"12","0.00000576","0.355","0.499","0.992"
"13","0.00000586","0.353","0.496","0.992"
"14","0.00000597","0.356","0.5","0.992"
"15","0.00000608","0.354","0.497","0.992"
"16","0.0000062","0.353","0.496","0.993"
"17","0.00000631","0.351","0.493","0.992"
"18","0.00000642","0.352","0.494","0.993"
"19","0.00000655","0.354","0.498","0.993"
"20","0.00000667","0.354","0.496","0.993"
"21","0.0000068","0.353","0.496","0.993"
"22","0.00000692","0.352","0.494","0.993"
"23","0.00000704","0.349","0.49","0.993"
"24","0.00000717","0.349","0.49","0.994"
"25","0.00000731","0.355","0.498","0.993"
"26","0.00000744","0.355","0.499","0.993"
"27","0.00000759","0.359","0.504","0.993"
"28","0.00000772","0.356","0.501","0.994"
"29","0.00000786","0.353","0.496","0.994"
"30","0.00000801","0.353","0.496","0.993"
"31","0.00000817","0.353","0.497","0.993"
"32","0.00000831","0.353","0.497","0.994"
"33","0.00000845","0.356","0.5","0.993"
"34","0.00000862","0.361","0.507","0.994"
"35","0.00000878","0.362","0.509","0.994"
"36","0.00000894","0.36","0.506","0.994"
"37","0.0000091","0.359","0.505","0.995"
"38","0.00000929","0.357","0.502","0.995"
"39","0.00000944","0.354","0.498","0.996"
"40","0.00000963","0.354","0.499","0.996"
"41","0.00000981","0.351","0.494","0.996"
"42","0.00000998","0.346","0.488","0.997"
"43","0.0000102","0.341","0.48","0.996"
"44","0.0000104","0.333","0.47","0.997"
"45","0.0000106","0.327","0.462","0.997"
"46","0.0000107","0.321","0.453","0.998"
"47","0.0000109","0.318","0.449","0.998"
"48","0.0000111","0.318","0.449","0.998"
"49","0.0000114","0.316","0.446","0.998"
"50","0.0000116","0.312","0.441","0.998"
"51","0.0000118","0.309","0.436","0.999"
"52","0.000012","0.308","0.436","0.999"
"53","0.0000122","0.307","0.434","0.999"
"54","0.0000124","0.308","0.435","0.999"
"55","0.0000127","0.31","0.438","1"
"56","0.0000129","0.312","0.441","0.999"
"57","0.0000132","0.315","0.445","1"
"58","0.0000134","0.318","0.449","1"
"59","0.0000136","0.319","0.451","1"
"60","0.0000139","0.32","0.452","0.999"
"61","0.0000141","0.323","0.457","1"
"62","0.0000144","0.335","0.474","1"
"63","0.0000147","0.337","0.476","1"
"64","0.0000149","0.328","0.464","1"
"65","0.0000152","0.327","0.464","1"
"66","0.0000155","0.325","0.46","1"
"67","0.0000158","0.335","0.474","1"
"68","0.0000161","0.349","0.494","1"
"69","0.0000164","0.36","0.51","1"
"70","0.0000167","0.372","0.527","1"
"71","0.000017","0.374","0.531","1"
"72","0.0000173","0.379","0.537","1"
"73","0.0000176","0.379","0.536","1"
"74","0.000018","0.365","0.518","1"
"75","0.0000183","0.363","0.515","1"
"76","0.0000187","0.353","0.501","1"
"77","0.000019","0.345","0.489","1"
"78","0.0000193","0.352","0.499","1"
"79","0.0000197","0.355","0.503","1"
"80","0.0000201","0.355","0.503","1"
"81","0.0000204","0.348","0.494","1"
"82","0.0000208","0.359","0.508","1"
"83","0.0000212","0.351","0.499","1"
"84","0.0000216","0.335","0.475","1"
"85","0.000022","0.328","0.466","1"
"86","0.0000224","0.33","0.47","1.01"
"87","0.0000228","0.33","0.47","1.01"
"88","0.0000232","0.327","0.465","1.01"
"89","0.0000237","0.324","0.461","1.01"
"90","0.0000241","0.318","0.453","1.01"
"91","0.0000246","0.307","0.438","1.01"
"92","0.000025","0.304","0.434","1.01"
"93","0.0000255","0.317","0.452","1.01"
"94","0.0000259","0.325","0.464","1.01"
"95","0.0000264","0.327","0.466","1.01"
"96","0.0000269","0.331","0.472","1.01"
"97","0.0000274","0.339","0.483","1.01"
"98","0.0000279","0.342","0.487","1.01"
"99","0.0000284","0.334","0.475","1.01"
"100","0.000029","0.32","0.456","1.01"
"101","0.0000295","0.318","0.454","1.01"
"102","0.0000301","0.314","0.449","1.01"
"103","0.0000306","0.31","0.444","1.01"
"104","0.0000312","0.307","0.439","1.01"
"105","0.0000317","0.293","0.42","1.01"
"106","0.0000324","0.304","0.436","1.01"
"107","0.0000329","0.299","0.429","1.02"
"108","0.0000336","0.308","0.444","1.02"
"109","0.0000342","0.318","0.459","1.02"
"110","0.0000348","0.328","0.474","1.02"
"111","0.0000355","0.332","0.481","1.02"
"112","0.0000361","0.34","0.492","1.02"
"113","0.0000368","0.331","0.48","1.02"
"114","0.0000375","0.328","0.477","1.03"
"115","0.0000382","0.345","0.503","1.03"
"116","0.0000389","0.356","0.517","1.03"
"117","0.0000396","0.344","0.496","1.02"
"118","0.0000403","0.333","0.482","1.02"
"119","0.0000411","0.324","0.468","1.02"
"120","0.0000419","0.323","0.468","1.02"
"121","0.0000426","0.317","0.457","1.02"
"122","0.0000434","0.314","0.453","1.02"
"123","0.0000442","0.313","0.449","1.01"
"124","0.000045","0.306","0.44","1.02"
"125","0.0000458","0.287","0.41","1.01"
"126","0.0000467","0.285","0.408","1.01"
"127","0.0000476","0.294","0.422","1.02"
"128","0.0000485","0.294","0.424","1.02"
"129","0.0000493","0.296","0.427","1.02"
"130","0.0000503","0.299","0.432","1.02"
"131","0.0000512","0.292","0.424","1.03"
"132","0.0000522","0.285","0.413","1.03"
"133","0.0000531","0.288","0.416","1.02"
"134","0.0000541","0.308","0.446","1.02"
"135","0.0000551","0.325","0.466","1.01"
"136","0.0000561","0.316","0.455","1.02"
"137","0.0000572","0.313","0.452","1.02"
"138","0.0000582","0.305","0.438","1.02"
"139","0.0000593","0.299","0.431","1.02"
"140","0.0000604","0.294","0.424","1.02"
"141","0.0000616","0.291","0.421","1.02"
"142","0.0000627","0.282","0.408","1.02"
"143","0.0000638","0.272","0.395","1.03"
"144","0.000065","0.273","0.394","1.02"
"145","0.0000662","0.272","0.391","1.02"
"146","0.0000675","0.278","0.401","1.02"
"147","0.0000687","0.275","0.398","1.02"
"148","0.00007","0.276","0.397","1.02"
"149","0.0000713","0.257","0.37","1.02"
"150","0.0000726","0.264","0.379","1.01"
"151","0.0000739","0.272","0.39","1.01"
"152","0.0000753","0.269","0.385","1.01"
"153","0.0000767","0.266","0.38","1.01"
"154","0.0000781","0.265","0.38","1.01"
"155","0.0000795","0.248","0.355","1.01"
"156","0.000081","0.241","0.345","1.01"
"157","0.0000825","0.223","0.32","1.01"
"158","0.0000841","0.218","0.312","1.01"
"159","0.0000856","0.206","0.294","1.01"
"160","0.0000872","0.215","0.307","1.01"
"161","0.0000888","0.232","0.331","1.01"
"162","0.0000905","0.259","0.37","1.01"
"163","0.0000922","0.277","0.395","1.01"
"164","0.0000939","0.286","0.408","1.01"
"165","0.0000956","0.291","0.415","1.01"
"166","0.0000974","0.301","0.428","1.01"
"167","0.0000991","0.308","0.437","1"
"168","0.000101","0.317","0.449","1"
"169","0.000103","0.301","0.425","0.999"
"170","0.000105","0.307","0.432","0.996"
"171","0.000107","0.295","0.413","0.991"
"172","0.000109","0.279","0.39","0.989"
"173","0.000111","0.257","0.358","0.984"
"174","0.000113","0.236","0.328","0.981"
"175","0.000115","0.239","0.331","0.979"
"176","0.000117","0.254","0.35","0.975"
"177","0.000119","0.253","0.348","0.972"
"178","0.000121","0.248","0.34","0.971"
"179","0.000124","0.229","0.315","0.974"
"180","0.000126","0.225","0.31","0.975"
"181","0.000128","0.223","0.31","0.983"
"182","0.000131","0.242","0.336","0.982"
"183","0.000133","0.255","0.352","0.976"
"184","0.000136","0.237","0.325","0.97"
"185","0.000138","0.264","0.363","0.969"
"186","0.000141","0.27","0.371","0.97"
"187","0.000143","0.262","0.359","0.969"
"188","0.000146","0.253","0.347","0.971"
"189","0.000149","0.256","0.352","0.974"
"190","0.000151","0.25","0.343","0.968"
"191","0.000154","0.228","0.314","0.975"
"192","0.000157","0.242","0.334","0.973"
"193","0.00016","0.239","0.326","0.966"
"194","0.000163","0.258","0.352","0.967"
"195","0.000166","0.239","0.327","0.968"
"196","0.000169","0.225","0.308","0.967"
"197","0.000172","0.22","0.301","0.965"
"198","0.000175","0.252","0.345","0.969"
"199","0.000179","0.261","0.358","0.969"
"200","0.000182","0.277","0.379","0.969"
"201","0.000185","0.291","0.4","0.972"
"202","0.000189","0.248","0.343","0.979"
"203","0.000192","0.244","0.339","0.981"
"204","0.000196","0.233","0.322","0.98"
"205","0.000199","0.226","0.314","0.982"
"206","0.000203","0.233","0.323","0.983"
"207","0.000207","0.224","0.311","0.982"
"208","0.000211","0.239","0.33","0.977"
"209","0.000214","0.237","0.326","0.972"
"210","0.000219","0.244","0.338","0.98"
"211","0.000223","0.238","0.328","0.976"
"212","0.000227","0.253","0.348","0.975"
"213","0.000231","0.239","0.331","0.98"
"214","0.000235","0.232","0.324","0.985"
"215","0.00024","0.269","0.375","0.985"
"216","0.000244","0.266","0.37","0.984"
"217","0.000248","0.253","0.35","0.98"
"218","0.000253","0.239","0.328","0.973"
"219","0.000258","0.247","0.338","0.968"
"220","0.000263","0.244","0.336","0.973"
"221","0.000267","0.24","0.333","0.979"
"222","0.000272","0.246","0.342","0.981"
"223","0.000277","0.254","0.353","0.984"
"224","0.000283","0.223","0.312","0.99"
"225","0.000288","0.205","0.291","1"
"226","0.000293","0.229","0.326","1.01"
"227","0.000299","0.24","0.344","1.01"
"228","0.000304","0.253","0.365","1.02"
"229","0.00031","0.262","0.382","1.03"
"230","0.000316","0.269","0.395","1.04"
"231","0.000321","0.276","0.406","1.04"
"232","0.000327","0.323","0.475","1.04"
"233","0.000333","0.314","0.459","1.03"
"234","0.000339","0.292","0.424","1.03"
"235","0.000346","0.274","0.401","1.03"
"236","0.000352","0.317","0.462","1.03"
"237","0.000359","0.263","0.384","1.03"
"238","0.000366","0.278","0.405","1.03"
"239","0.000372","0.255","0.373","1.03"
"240","0.000379","0.253","0.374","1.05"
"241","0.000386","0.237","0.348","1.04"
"242","0.000393","0.235","0.348","1.05"
"243","0.000401","0.255","0.369","1.02"
"244","0.000408","0.249","0.365","1.03"
"245","0.000416","0.235","0.344","1.04"
"246","0.000423","0.212","0.308","1.03"
"247","0.000431","0.214","0.313","1.03"
"248","0.000439","0.242","0.353","1.03"
"249","0.000447","0.274","0.394","1.02"
"250","0.000456","0.239","0.34","1"
"251","0.000464","0.217","0.307","0.999"
"252","0.000473","0.214","0.299","0.989"
"253","0.000482","0.23","0.32","0.984"
"254","0.00049","0.234","0.319","0.964"
"255","0.000499","0.225","0.306","0.962"
"256","0.000509","0.232","0.315","0.961"
"257","0.000518","0.235","0.319","0.961"
"258","0.000528","0.242","0.332","0.97"
"259","0.000537","0.217","0.298","0.97"
"260","0.000547","0.212","0.294","0.979"
"261","0.000558","0.214","0.297","0.982"
"262","0.000568","0.217","0.297","0.969"
"263","0.000578","0.201","0.275","0.967"
"264","0.000589","0.226","0.31","0.968"
"265","0.0006","0.215","0.29","0.955"
"266","0.000611","0.227","0.309","0.963"
"267","0.000623","0.23","0.316","0.972"
"268","0.000634","0.223","0.31","0.981"
"269","0.000646","0.268","0.377","0.995"
"270","0.000658","0.293","0.419","1.01"
"271","0.00067","0.302","0.437","1.02"
"272","0.000682","0.263","0.385","1.03"
"273","0.000695","0.273","0.4","1.04"
"274","0.000708","0.268","0.388","1.02"
"275","0.000721","0.278","0.405","1.03"
"276","0.000735","0.248","0.368","1.05"
"277","0.000748","0.247","0.371","1.06"
"278","0.000762","0.224","0.335","1.06"
"279","0.000776","0.223","0.331","1.05"
"280","0.00079","0.232","0.34","1.04"
"281","0.000805","0.224","0.324","1.02"
"282","0.00082","0.216","0.307","1"
"283","0.000835","0.216","0.301","0.985"
"284","0.000851","0.223","0.302","0.96"
"285","0.000866","0.226","0.305","0.954"
"286","0.000883","0.213","0.287","0.953"
"287","0.000899","0.214","0.29","0.956"
"288","0.000916","0.211","0.288","0.963"
"289","0.000933","0.226","0.309","0.964"
"290","0.00095","0.207","0.28","0.957"
"291","0.000967","0.242","0.331","0.969"
"292","0.000985","0.255","0.352","0.977"
"293","0.001","0.265","0.376","1"
"294","0.00102","0.249","0.365","1.04"
"295","0.00104","0.26","0.388","1.05"
"296","0.00106","0.272","0.405","1.05"
"297","0.00108","0.244","0.371","1.08"
"298","0.0011","0.26","0.394","1.07"
"299","0.00112","0.234","0.348","1.05"
"300","0.00114","0.249","0.356","1.01"
"301","0.00116","0.229","0.315","0.973"
"302","0.00118","0.23","0.303","0.931"
"303","0.00121","0.229","0.293","0.903"
"304","0.00123","0.237","0.299","0.894"
"305","0.00125","0.223","0.293","0.93"
"306","0.00127","0.24","0.317","0.936"
"307","0.0013","0.242","0.33","0.963"
"308","0.00132","0.24","0.334","0.984"
"309","0.00135","0.27","0.392","1.03"
"310","0.00137","0.287","0.428","1.05"
"311","0.0014","0.272","0.407","1.06"
"312","0.00142","0.257","0.397","1.09"
"313","0.00145","0.268","0.418","1.1"
"314","0.00148","0.265","0.407","1.09"
"315","0.0015","0.229","0.335","1.03"
"316","0.00153","0.24","0.331","0.975"
