"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000508","0.574","0.805","0.991"
"2","0.00000473","0.672","0.94","0.988"
"3","0.00000486","0.759","1.07","0.994"
"4","0.00000473","0.824","1.17","1"
"5","0.00000499","0.616","0.869","0.998"
"6","0.00000687","0.757","1.07","0.999"
"7","0.00000564","0.708","0.998","0.997"
"8","0.00000422","0.621","0.877","0.999"
"9","0.00000558","0.612","0.865","1"
"10","0.00000567","0.769","1.09","0.999"
"11","0.00000611","0.751","1.06","0.999"
"12","0.00000644","0.743","1.05","0.998"
"13","0.00000606","0.739","1.04","0.999"
"14","0.00000598","0.74","1.04","0.998"
"15","0.00000609","0.735","1.04","0.999"
"16","0.00000619","0.729","1.03","0.999"
"17","0.00000631","0.725","1.02","0.999"
"18","0.00000642","0.72","1.02","0.999"
"19","0.00000654","0.716","1.01","0.999"
"20","0.00000667","0.714","1.01","0.999"
"21","0.00000678","0.709","1","0.999"
"22","0.00000691","0.702","0.992","0.999"
"23","0.00000704","0.696","0.984","0.999"
"24","0.00000718","0.692","0.978","0.999"
"25","0.00000732","0.686","0.971","1"
"26","0.00000743","0.681","0.962","0.999"
"27","0.00000757","0.677","0.958","1"
"28","0.00000772","0.675","0.954","1"
"29","0.00000786","0.667","0.944","1"
"30","0.00000801","0.658","0.93","1"
"31","0.00000816","0.651","0.921","1"
"32","0.00000833","0.647","0.915","1"
"33","0.00000846","0.639","0.903","1"
"34","0.00000861","0.637","0.901","1"
"35","0.00000878","0.632","0.894","1"
"36","0.00000895","0.628","0.889","1"
"37","0.0000091","0.626","0.886","1"
"38","0.00000928","0.627","0.887","1"
"39","0.00000946","0.626","0.887","1"
"40","0.00000962","0.625","0.885","1"
"41","0.00000981","0.631","0.893","1"
"42","0.00000998","0.638","0.905","1"
"43","0.0000102","0.641","0.908","1"
"44","0.0000104","0.644","0.913","1"
"45","0.0000105","0.65","0.922","1"
"46","0.0000107","0.653","0.927","1"
"47","0.0000109","0.656","0.931","1"
"48","0.0000111","0.655","0.931","1.01"
"49","0.0000113","0.655","0.931","1.01"
"50","0.0000115","0.655","0.932","1.01"
"51","0.0000118","0.662","0.942","1.01"
"52","0.000012","0.666","0.948","1.01"
"53","0.0000122","0.669","0.953","1.01"
"54","0.0000125","0.67","0.954","1.01"
"55","0.0000127","0.661","0.942","1.01"
"56","0.0000129","0.66","0.94","1.01"
"57","0.0000132","0.653","0.931","1.01"
"58","0.0000134","0.648","0.923","1.01"
"59","0.0000136","0.654","0.933","1.01"
"60","0.0000139","0.665","0.95","1.01"
"61","0.0000142","0.669","0.956","1.01"
"62","0.0000144","0.674","0.963","1.01"
"63","0.0000147","0.668","0.954","1.01"
"64","0.0000149","0.649","0.927","1.01"
"65","0.0000152","0.634","0.906","1.01"
"66","0.0000155","0.622","0.888","1.01"
"67","0.0000158","0.613","0.877","1.01"
"68","0.0000161","0.617","0.881","1.01"
"69","0.0000164","0.621","0.888","1.01"
"70","0.0000167","0.621","0.888","1.01"
"71","0.000017","0.629","0.9","1.01"
"72","0.0000173","0.641","0.918","1.01"
"73","0.0000177","0.664","0.954","1.01"
"74","0.000018","0.681","0.979","1.02"
"75","0.0000183","0.689","0.991","1.02"
"76","0.0000186","0.681","0.981","1.02"
"77","0.000019","0.69","0.995","1.02"
"78","0.0000193","0.689","0.995","1.02"
"79","0.0000197","0.672","0.969","1.02"
"80","0.0000201","0.659","0.951","1.02"
"81","0.0000204","0.651","0.941","1.02"
"82","0.0000208","0.647","0.936","1.02"
"83","0.0000212","0.654","0.948","1.03"
"84","0.0000216","0.651","0.944","1.03"
"85","0.000022","0.653","0.947","1.03"
"86","0.0000224","0.662","0.961","1.03"
"87","0.0000228","0.658","0.955","1.03"
"88","0.0000232","0.645","0.936","1.03"
"89","0.0000237","0.646","0.938","1.03"
"90","0.0000241","0.648","0.942","1.03"
"91","0.0000245","0.647","0.937","1.02"
"92","0.000025","0.646","0.936","1.02"
"93","0.0000255","0.643","0.932","1.03"
"94","0.0000259","0.644","0.933","1.03"
"95","0.0000264","0.661","0.959","1.03"
"96","0.0000269","0.674","0.98","1.03"
"97","0.0000274","0.697","1.01","1.02"
"98","0.0000279","0.692","1","1.02"
"99","0.0000285","0.704","1.02","1.03"
"100","0.000029","0.692","1","1.03"
"101","0.0000295","0.683","0.992","1.03"
"102","0.0000301","0.66","0.957","1.03"
"103","0.0000306","0.637","0.924","1.03"
"104","0.0000312","0.612","0.882","1.02"
"105","0.0000317","0.608","0.876","1.02"
"106","0.0000324","0.628","0.905","1.02"
"107","0.0000329","0.63","0.909","1.02"
"108","0.0000336","0.628","0.906","1.02"
"109","0.0000342","0.63","0.903","1.01"
"110","0.0000348","0.628","0.9","1.01"
"111","0.0000355","0.648","0.929","1.01"
"112","0.0000361","0.66","0.948","1.02"
"113","0.0000368","0.665","0.957","1.02"
"114","0.0000374","0.687","0.99","1.02"
"115","0.0000382","0.717","1.03","1.02"
"116","0.0000389","0.71","1.03","1.02"
"117","0.0000396","0.712","1.03","1.02"
"118","0.0000403","0.724","1.05","1.02"
"119","0.0000411","0.729","1.06","1.02"
"120","0.0000418","0.749","1.09","1.03"
"121","0.0000426","0.745","1.08","1.02"
"122","0.0000434","0.736","1.06","1.02"
"123","0.0000442","0.708","1.02","1.02"
"124","0.000045","0.691","0.998","1.02"
"125","0.0000459","0.697","1.01","1.02"
"126","0.0000467","0.715","1.03","1.02"
"127","0.0000476","0.719","1.04","1.02"
"128","0.0000484","0.721","1.05","1.03"
"129","0.0000494","0.747","1.08","1.03"
"130","0.0000502","0.763","1.09","1.01"
"131","0.0000512","0.757","1.08","1.01"
"132","0.0000522","0.754","1.08","1.01"
"133","0.0000531","0.735","1.05","1.01"
"134","0.0000541","0.722","1.03","1.01"
"135","0.0000551","0.698","0.998","1.01"
"136","0.0000561","0.707","1.01","1.01"
"137","0.0000571","0.715","1.02","1.01"
"138","0.0000581","0.692","0.989","1.01"
"139","0.0000593","0.688","0.984","1.01"
"140","0.0000604","0.713","1.02","1.01"
"141","0.0000615","0.74","1.06","1.01"
"142","0.0000626","0.732","1.04","1.01"
"143","0.0000638","0.736","1.05","1.01"
"144","0.000065","0.721","1.02","1"
"145","0.0000662","0.693","0.981","1"
"146","0.0000674","0.654","0.921","0.997"
"147","0.0000686","0.649","0.913","0.995"
"148","0.00007","0.684","0.965","0.997"
"149","0.0000713","0.679","0.957","0.997"
"150","0.0000726","0.672","0.945","0.995"
"151","0.000074","0.678","0.953","0.994"
"152","0.0000752","0.66","0.925","0.991"
"153","0.0000768","0.685","0.962","0.994"
"154","0.0000781","0.647","0.906","0.991"
"155","0.0000796","0.695","0.971","0.988"
"156","0.0000809","0.717","1","0.986"
"157","0.0000826","0.734","1.02","0.983"
"158","0.0000841","0.733","1.02","0.981"
"159","0.0000856","0.686","0.948","0.977"
"160","0.0000872","0.683","0.941","0.974"
"161","0.0000889","0.689","0.948","0.972"
"162","0.0000905","0.694","0.952","0.97"
"163","0.0000922","0.689","0.943","0.968"
"164","0.0000938","0.691","0.954","0.976"
"165","0.0000956","0.673","0.93","0.977"
"166","0.0000973","0.619","0.872","0.995"
"167","0.0000992","0.614","0.885","1.02"
"168","0.000101","0.652","0.91","0.986"
"169","0.000103","0.729","0.991","0.96"
"170","0.000105","0.742","1.01","0.963"
"171","0.000107","0.753","1.03","0.963"
"172","0.000109","0.756","1.03","0.966"
"173","0.000111","0.691","0.944","0.966"
"174","0.000113","0.719","0.985","0.968"
"175","0.000115","0.749","1.04","0.978"
"176","0.000117","0.733","1.01","0.973"
"177","0.000119","0.725","0.998","0.973"
"178","0.000121","0.732","1.01","0.971"
"179","0.000124","0.727","0.998","0.97"
"180","0.000126","0.707","0.966","0.966"
"181","0.000128","0.71","0.975","0.971"
"182","0.000131","0.726","1","0.975"
"183","0.000133","0.787","1.08","0.974"
"184","0.000136","0.732","1","0.969"
"185","0.000138","0.724","0.989","0.967"
"186","0.000141","0.723","0.991","0.97"
"187","0.000143","0.709","0.974","0.971"
"188","0.000146","0.809","1.11","0.968"
"189","0.000149","0.788","1.08","0.965"
"190","0.000151","0.785","1.07","0.966"
"191","0.000154","0.787","1.09","0.981"
"192","0.000157","0.774","1.08","0.983"
"193","0.00016","0.75","1.04","0.985"
"194","0.000163","0.751","1.05","0.987"
"195","0.000166","0.71","0.989","0.985"
"196","0.000169","0.688","0.957","0.983"
"197","0.000172","0.748","1.04","0.984"
"198","0.000175","0.741","1.03","0.98"
"199","0.000179","0.728","1","0.972"
"200","0.000182","0.724","0.989","0.966"
"201","0.000185","0.727","1","0.976"
"202","0.000189","0.737","1.01","0.972"
"203","0.000192","0.686","0.946","0.976"
"204","0.000196","0.788","1.09","0.981"
"205","0.0002","0.735","1.02","0.979"
"206","0.000203","0.762","1.05","0.977"
"207","0.000207","0.749","1.03","0.974"
"208","0.000211","0.774","1.06","0.967"
"209","0.000215","0.801","1.1","0.976"
"210","0.000219","0.795","1.1","0.981"
"211","0.000223","0.784","1.09","0.979"
"212","0.000227","0.805","1.11","0.979"
