"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"149","0.0000712","0.67","0.968","1.02"
"150","0.0000726","0.669","0.969","1.02"
"151","0.0000738","0.671","0.976","1.03"
"152","0.0000753","0.668","0.962","1.02"
"153","0.0000767","0.653","0.94","1.02"
"154","0.0000781","0.655","0.946","1.02"
"155","0.0000795","0.63","0.914","1.03"
"156","0.000081","0.614","0.893","1.03"
"157","0.0000826","0.626","0.912","1.03"
"158","0.000084","0.653","0.948","1.03"
"159","0.0000856","0.705","1.03","1.03"
"160","0.0000871","0.698","1.01","1.03"
"161","0.0000889","0.68","0.989","1.03"
"162","0.0000905","0.675","0.978","1.02"
"163","0.0000921","0.671","0.974","1.03"
"164","0.0000939","0.688","1","1.03"
"165","0.0000956","0.688","0.998","1.03"
"166","0.0000974","0.675","0.981","1.03"
"167","0.0000992","0.65","0.947","1.03"
"168","0.000101","0.661","0.963","1.03"
"169","0.000103","0.663","0.957","1.02"
"170","0.000105","0.676","0.976","1.02"
"171","0.000107","0.658","0.953","1.02"
"172","0.000109","0.63","0.908","1.02"
"173","0.000111","0.652","0.931","1.01"
"174","0.000113","0.661","0.946","1.01"
"175","0.000115","0.662","0.947","1.01"
"176","0.000117","0.644","0.923","1.01"
"177","0.000119","0.671","0.964","1.02"
"178","0.000122","0.667","0.96","1.02"
"179","0.000124","0.676","0.977","1.02"
"180","0.000126","0.672","0.974","1.02"
"181","0.000128","0.672","0.978","1.03"
"182","0.000131","0.681","0.99","1.03"
"183","0.000133","0.657","0.952","1.02"
"184","0.000136","0.619","0.899","1.03"
"185","0.000138","0.639","0.932","1.03"
"186","0.00014","0.684","0.997","1.03"
"187","0.000143","0.682","0.998","1.04"
"188","0.000146","0.662","0.966","1.03"
"189","0.000148","0.668","0.962","1.02"
"190","0.000151","0.679","0.985","1.03"
"191","0.000154","0.664","0.97","1.03"
"192","0.000157","0.634","0.923","1.03"
"193","0.00016","0.637","0.927","1.03"
"194","0.000163","0.665","0.974","1.04"
"195","0.000166","0.622","0.91","1.03"
"196","0.000169","0.625","0.91","1.03"
"197","0.000172","0.632","0.921","1.03"
"198","0.000176","0.616","0.899","1.03"
"199","0.000178","0.638","0.918","1.02"
"200","0.000182","0.668","0.964","1.02"
"201","0.000185","0.634","0.917","1.02"
"202","0.000189","0.596","0.862","1.02"
"203","0.000192","0.595","0.857","1.02"
"204","0.000196","0.568","0.817","1.02"
"205","0.000199","0.6","0.864","1.02"
"206","0.000203","0.631","0.91","1.02"
"207","0.000207","0.656","0.948","1.02"
"208","0.000211","0.616","0.89","1.02"
"209","0.000215","0.61","0.877","1.02"
"210","0.000218","0.635","0.906","1.01"
"211","0.000223","0.624","0.886","1"
"212","0.000227","0.579","0.819","1"
"213","0.000231","0.61","0.858","0.994"
"214","0.000235","0.575","0.801","0.985"
"215","0.000239","0.585","0.808","0.977"
"216","0.000244","0.567","0.778","0.97"
"217","0.000248","0.549","0.749","0.965"
"218","0.000253","0.624","0.85","0.962"
"219","0.000258","0.601","0.825","0.972"
"220","0.000263","0.538","0.739","0.972"
"221","0.000267","0.574","0.787","0.97"
"222","0.000272","0.569","0.774","0.961"
"223","0.000277","0.605","0.824","0.964"
"224","0.000282","0.557","0.76","0.964"
"225","0.000288","0.579","0.797","0.974"
"226","0.000293","0.558","0.762","0.966"
"227","0.000298","0.575","0.789","0.97"
"228","0.000304","0.606","0.841","0.981"
"229","0.00031","0.59","0.819","0.983"
"230","0.000315","0.573","0.797","0.983"
"231","0.000321","0.561","0.78","0.984"
"232","0.000327","0.597","0.826","0.978"
"233","0.000333","0.593","0.811","0.967"
"234","0.00034","0.625","0.858","0.971"
"235","0.000346","0.634","0.884","0.987"
"236","0.000352","0.642","0.892","0.983"
"237","0.000359","0.623","0.856","0.972"
"238","0.000366","0.63","0.856","0.961"
"239","0.000372","0.623","0.852","0.968"
"240","0.000379","0.644","0.884","0.97"
"241","0.000386","0.589","0.81","0.973"
"242","0.000394","0.641","0.885","0.977"
"243","0.0004","0.592","0.829","0.99"
"244","0.000408","0.628","0.884","0.996"
"245","0.000415","0.612","0.873","1.01"
"246","0.000423","0.612","0.891","1.03"
"247","0.000431","0.616","0.91","1.04"
"248","0.000439","0.578","0.851","1.04"
"249","0.000447","0.579","0.845","1.03"
"250","0.000455","0.594","0.868","1.03"
"251","0.000464","0.624","0.907","1.03"
"252","0.000473","0.626","0.914","1.03"
"253","0.000481","0.628","0.916","1.03"
"254","0.000491","0.587","0.867","1.04"
"255","0.000499","0.586","0.874","1.05"
"256","0.000508","0.604","0.896","1.05"
"257","0.000518","0.567","0.85","1.06"
"258","0.000528","0.568","0.847","1.05"
"259","0.000538","0.566","0.823","1.03"
"260","0.000547","0.605","0.88","1.03"
"261","0.000558","0.562","0.813","1.02"
"262","0.000568","0.581","0.834","1.02"
"263","0.000578","0.543","0.769","1"
"264","0.000589","0.557","0.775","0.984"
"265","0.0006","0.513","0.702","0.967"
"266","0.000611","0.48","0.646","0.952"
"267","0.000622","0.529","0.711","0.951"
"268","0.000634","0.518","0.692","0.944"
"269","0.000646","0.5","0.673","0.953"
"270","0.000658","0.53","0.724","0.965"
"271","0.00067","0.477","0.654","0.968"
"272","0.000682","0.472","0.642","0.963"
"273","0.000695","0.505","0.695","0.972"
"274","0.000708","0.502","0.68","0.958"
"275","0.000721","0.51","0.699","0.969"
"276","0.000734","0.553","0.761","0.973"
"277","0.000748","0.523","0.73","0.988"
"278","0.000762","0.564","0.807","1.01"
"279","0.000776","0.497","0.729","1.04"
"280","0.00079","0.558","0.825","1.04"
"281","0.000805","0.545","0.807","1.05"
"282","0.00082","0.54","0.797","1.04"
"283","0.000835","0.556","0.819","1.04"
"284","0.000851","0.527","0.79","1.06"
"285","0.000866","0.545","0.822","1.07"
"286","0.000882","0.52","0.768","1.04"
"287","0.000899","0.555","0.802","1.02"
"288","0.000916","0.549","0.776","1"
"289","0.000933","0.56","0.762","0.961"
"290","0.00095","0.561","0.743","0.937"
"291","0.000968","0.496","0.666","0.95"
"292","0.000985","0.507","0.657","0.917"
"293","0.001","0.458","0.611","0.945"
"294","0.00102","0.529","0.703","0.941"
"295","0.00104","0.486","0.654","0.952"
"296","0.00106","0.524","0.705","0.951"
"297","0.00108","0.521","0.726","0.985"
"298","0.0011","0.544","0.778","1.01"
"299","0.00112","0.532","0.791","1.05"
"300","0.00114","0.522","0.768","1.04"
"301","0.00116","0.509","0.755","1.05"
"302","0.00118","0.534","0.798","1.06"
"303","0.0012","0.481","0.727","1.07"
"304","0.00123","0.481","0.723","1.06"
"305","0.00125","0.532","0.772","1.03"
"306","0.00127","0.491","0.682","0.981"
