"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000467","0.175","0.226","0.914"
"2","0.00000465","0.289","0.38","0.929"
"3","0.00000477","0.283","0.375","0.937"
"4","0.00000503","0.282","0.376","0.942"
"5","0.00000512","0.286","0.383","0.948"
"6","0.00000504","0.286","0.381","0.942"
"7","0.0000051","0.283","0.378","0.944"
"8","0.00000535","0.28","0.374","0.947"
"9","0.00000539","0.283","0.379","0.947"
"10","0.00000556","0.287","0.38","0.936"
"11","0.00000574","0.29","0.386","0.942"
"12","0.00000574","0.287","0.389","0.959"
"13","0.00000579","0.288","0.389","0.955"
"14","0.000006","0.283","0.388","0.969"
"15","0.00000606","0.287","0.391","0.965"
"16","0.00000626","0.287","0.391","0.962"
"17","0.00000632","0.283","0.388","0.97"
"18","0.00000643","0.285","0.386","0.958"
"19","0.00000651","0.282","0.381","0.956"
"20","0.00000665","0.277","0.378","0.965"
"21","0.00000676","0.276","0.376","0.963"
"22","0.0000069","0.277","0.375","0.958"
"23","0.00000706","0.308","0.419","0.961"
"24","0.00000719","0.305","0.414","0.961"
"25","0.00000729","0.318","0.428","0.952"
"26","0.00000737","0.325","0.436","0.948"
"27","0.00000756","0.324","0.44","0.96"
"28","0.00000771","0.325","0.444","0.966"
"29","0.00000786","0.33","0.448","0.961"
"30","0.00000801","0.335","0.458","0.965"
"31","0.00000812","0.341","0.462","0.96"
"32","0.00000831","0.345","0.471","0.966"
"33","0.00000854","0.346","0.47","0.96"
"34","0.00000863","0.352","0.474","0.953"
"35","0.00000881","0.354","0.483","0.965"
"36","0.00000891","0.357","0.482","0.955"
"37","0.00000911","0.355","0.481","0.957"
"38","0.00000932","0.371","0.503","0.96"
"39","0.00000948","0.377","0.508","0.953"
"40","0.00000972","0.37","0.498","0.951"
"41","0.00000975","0.368","0.493","0.948"
"42","0.00000993","0.369","0.499","0.957"
"43","0.0000102","0.382","0.515","0.953"
"44","0.0000104","0.391","0.528","0.955"
"45","0.0000106","0.398","0.533","0.947"
"46","0.0000107","0.4","0.539","0.952"
"47","0.0000109","0.403","0.538","0.944"
"48","0.0000111","0.407","0.539","0.937"
"49","0.0000114","0.41","0.549","0.947"
"50","0.0000115","0.416","0.558","0.948"
"51","0.0000118","0.423","0.57","0.953"
"52","0.0000119","0.426","0.578","0.961"
"53","0.0000122","0.435","0.585","0.95"
"54","0.0000124","0.441","0.592","0.949"
"55","0.0000127","0.436","0.594","0.963"
"56","0.0000129","0.441","0.601","0.964"
"57","0.0000132","0.454","0.617","0.961"
"58","0.0000134","0.468","0.631","0.954"
"59","0.0000136","0.469","0.637","0.961"
"60","0.0000139","0.469","0.635","0.957"
"61","0.0000141","0.477","0.642","0.952"
"62","0.0000144","0.481","0.645","0.949"
"63","0.0000147","0.478","0.643","0.952"
"64","0.000015","0.477","0.649","0.961"
"65","0.0000152","0.485","0.652","0.951"
"66","0.0000155","0.494","0.663","0.95"
"67","0.0000158","0.495","0.669","0.957"
"68","0.0000161","0.502","0.676","0.953"
"69","0.0000164","0.51","0.686","0.952"
"70","0.0000167","0.511","0.69","0.954"
"71","0.000017","0.511","0.692","0.957"
"72","0.0000173","0.556","0.761","0.968"
"73","0.0000176","0.572","0.784","0.969"
"74","0.000018","0.59","0.811","0.973"
"75","0.0000183","0.607","0.836","0.973"
"76","0.0000186","0.606","0.835","0.974"
"77","0.000019","0.61","0.845","0.98"
"78","0.0000194","0.606","0.841","0.981"
"79","0.0000197","0.601","0.834","0.982"
"80","0.0000201","0.605","0.84","0.982"
"81","0.0000204","0.622","0.865","0.984"
"82","0.0000208","0.621","0.865","0.984"
"83","0.0000212","0.629","0.877","0.985"
"84","0.0000216","0.637","0.892","0.99"
"85","0.000022","0.64","0.897","0.991"
"86","0.0000224","0.639","0.896","0.991"
"87","0.0000228","0.644","0.904","0.992"
"88","0.0000232","0.652","0.914","0.992"
"89","0.0000237","0.65","0.912","0.992"
"90","0.0000241","0.651","0.913","0.992"
"91","0.0000246","0.665","0.932","0.992"
"92","0.000025","0.664","0.932","0.993"
"93","0.0000255","0.653","0.918","0.993"
"94","0.000026","0.66","0.926","0.993"
"95","0.0000264","0.657","0.923","0.993"
"96","0.0000269","0.658","0.924","0.994"
"97","0.0000274","0.655","0.921","0.994"
"98","0.000028","0.649","0.912","0.993"
"99","0.0000284","0.642","0.902","0.993"
"100","0.000029","0.637","0.894","0.993"
"101","0.0000295","0.633","0.888","0.992"
"102","0.0000301","0.63","0.886","0.993"
"103","0.0000306","0.613","0.862","0.994"
"104","0.0000312","0.606","0.852","0.993"
"105","0.0000317","0.612","0.859","0.993"
"106","0.0000323","0.607","0.852","0.992"
"107","0.0000329","0.617","0.866","0.993"
"108","0.0000336","0.619","0.87","0.994"
"109","0.0000342","0.615","0.865","0.994"
"110","0.0000348","0.61","0.858","0.994"
"111","0.0000355","0.626","0.88","0.994"
"112","0.0000361","0.622","0.875","0.995"
"113","0.0000367","0.627","0.882","0.995"
"114","0.0000375","0.634","0.893","0.995"
"115","0.0000382","0.643","0.905","0.996"
"116","0.0000388","0.625","0.879","0.995"
"117","0.0000396","0.621","0.874","0.995"
"118","0.0000403","0.641","0.902","0.995"
"119","0.0000411","0.661","0.931","0.996"
"120","0.0000418","0.652","0.918","0.996"
