"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000483","0.263","0.374","1.01"
"2","0.00000483","0.387","0.55","1.01"
"3","0.00000487","0.38","0.54","1"
"4","0.00000497","0.386","0.547","1"
"5","0.00000506","0.392","0.555","1"
"6","0.00000516","0.402","0.569","1"
"7","0.00000525","0.406","0.574","0.999"
"8","0.00000535","0.413","0.583","0.998"
"9","0.00000544","0.42","0.593","0.997"
"10","0.00000554","0.426","0.601","0.997"
"11","0.00000565","0.434","0.611","0.995"
"12","0.00000576","0.441","0.621","0.995"
"13","0.00000587","0.448","0.629","0.994"
"14","0.00000597","0.454","0.637","0.993"
"15","0.00000607","0.456","0.641","0.993"
"16","0.00000619","0.462","0.649","0.992"
"17","0.00000631","0.466","0.654","0.992"
"18","0.00000642","0.471","0.661","0.991"
"19","0.00000654","0.476","0.666","0.991"
"20","0.00000666","0.478","0.669","0.99"
"21","0.00000679","0.478","0.67","0.99"
"22","0.00000692","0.478","0.669","0.991"
"23","0.00000704","0.477","0.668","0.99"
"24","0.00000718","0.473","0.663","0.991"
"25","0.00000731","0.468","0.656","0.991"
"26","0.00000744","0.463","0.649","0.991"
"27","0.00000758","0.459","0.643","0.991"
"28","0.00000772","0.457","0.641","0.992"
"29","0.00000787","0.456","0.639","0.991"
"30","0.000008","0.453","0.635","0.992"
"31","0.00000816","0.447","0.627","0.992"
"32","0.00000832","0.444","0.622","0.991"
"33","0.00000846","0.441","0.619","0.992"
"34","0.00000862","0.44","0.618","0.993"
"35","0.00000878","0.441","0.619","0.993"
"36","0.00000895","0.442","0.621","0.993"
"37","0.00000911","0.439","0.616","0.993"
"38","0.00000928","0.439","0.616","0.993"
"39","0.00000945","0.433","0.609","0.993"
"40","0.00000963","0.429","0.602","0.993"
"41","0.00000981","0.422","0.593","0.993"
"42","0.00000999","0.415","0.583","0.993"
"43","0.0000102","0.412","0.579","0.994"
"44","0.0000104","0.409","0.575","0.994"
"45","0.0000105","0.403","0.568","0.995"
"46","0.0000108","0.399","0.561","0.995"
"47","0.0000109","0.397","0.559","0.996"
"48","0.0000111","0.398","0.561","0.996"
"49","0.0000114","0.403","0.568","0.996"
"50","0.0000116","0.406","0.572","0.995"
"51","0.0000118","0.407","0.574","0.996"
"52","0.000012","0.405","0.57","0.996"
"53","0.0000122","0.414","0.583","0.996"
"54","0.0000125","0.417","0.588","0.995"
"55","0.0000127","0.42","0.591","0.996"
"56","0.0000129","0.422","0.594","0.996"
"57","0.0000131","0.424","0.597","0.996"
"58","0.0000134","0.422","0.595","0.996"
"59","0.0000136","0.425","0.599","0.995"
"60","0.0000139","0.428","0.603","0.995"
"61","0.0000142","0.428","0.603","0.995"
"62","0.0000144","0.426","0.6","0.995"
