"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.04188","0.06065","0.2821","1.024"
"2","0.04127","0.05962","0.277","1.021"
"3","0.03969","0.05743","0.2719","1.023"
"4","0.03938","0.057","0.267","1.023"
"5","0.04239","0.06139","0.2621","1.024"
"6","0.03956","0.05714","0.2573","1.021"
"7","0.04136","0.05988","0.2527","1.024"
"8","0.03922","0.05662","0.2481","1.021"
"9","0.04038","0.05828","0.2436","1.021"
"10","0.04101","0.0593","0.2392","1.022"
"11","0.03961","0.05714","0.2348","1.02"
"12","0.03955","0.05706","0.2305","1.02"
"13","0.03951","0.05699","0.2263","1.02"
"14","0.03936","0.05678","0.2222","1.02"
"15","0.03956","0.05705","0.2181","1.02"
"16","0.03821","0.05499","0.2142","1.018"
"17","0.0388","0.0559","0.2103","1.019"
"18","0.03981","0.05737","0.2065","1.019"
"19","0.0384","0.05517","0.2027","1.016"
"20","0.03935","0.05676","0.199","1.02"
"21","0.03864","0.05549","0.1954","1.016"
"22","0.04011","0.05782","0.1918","1.019"
"23","0.03852","0.0554","0.1883","1.017"
"24","0.03859","0.05542","0.1849","1.016"
"25","0.0399","0.0574","0.1816","1.017"
"26","0.03987","0.05733","0.1782","1.017"
"27","0.03968","0.05712","0.175","1.018"
"28","0.0395","0.05692","0.1718","1.019"
"29","0.03949","0.05686","0.1687","1.018"
"30","0.03981","0.05737","0.1656","1.019"
"31","0.04066","0.05832","0.1626","1.014"
"32","0.04071","0.05857","0.1596","1.017"
"33","0.04015","0.05743","0.1568","1.012"
"34","0.03959","0.05664","0.1539","1.012"
"35","0.04091","0.05874","0.1511","1.015"
"36","0.04115","0.05892","0.1483","1.012"
"37","0.04045","0.05797","0.1457","1.013"
"38","0.04185","0.05994","0.143","1.013"
"39","0.04088","0.0586","0.1404","1.014"
"40","0.04173","0.05963","0.1378","1.01"
"41","0.04177","0.05974","0.1353","1.011"
"42","0.04278","0.06118","0.1328","1.011"
"43","0.04325","0.062","0.1305","1.014"
"44","0.04282","0.06107","0.1281","1.009"
"45","0.04298","0.06127","0.1258","1.008"
"46","0.04392","0.06291","0.1235","1.013"
"47","0.04387","0.06255","0.1212","1.008"
"48","0.04457","0.06368","0.119","1.01"
"49","0.04484","0.06418","0.1168","1.012"
"50","0.04507","0.06438","0.1147","1.01"
"51","0.04551","0.06495","0.1126","1.009"
"52","0.04596","0.06553","0.1106","1.008"
"53","0.04611","0.06571","0.1086","1.008"
"54","0.04692","0.06706","0.1066","1.011"
"55","0.04752","0.0677","0.1046","1.007"
"56","0.04753","0.06806","0.1027","1.012"
"57","0.04855","0.06896","0.1009","1.004"
"58","0.04927","0.07034","0.09903","1.01"
