"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"130","0.3052","0.4388","0.00005026","1.017"
"131","0.3048","0.4382","0.0000512","1.017"
"132","0.3052","0.4384","0.00005216","1.016"
"133","0.3063","0.4402","0.00005312","1.016"
"134","0.3055","0.4382","0.0000541","1.014"
"135","0.3054","0.4371","0.00005511","1.012"
"136","0.3048","0.437","0.00005613","1.014"
"137","0.3043","0.4365","0.00005717","1.014"
"138","0.3042","0.4371","0.00005822","1.016"
"139","0.304","0.4371","0.00005931","1.017"
"140","0.3045","0.4382","0.0000604","1.018"
"141","0.3039","0.4379","0.00006152","1.019"
"142","0.3046","0.4396","0.00006267","1.02"
"143","0.3026","0.4375","0.00006383","1.022"
"144","0.304","0.4384","0.00006501","1.02"
"145","0.3054","0.4388","0.00006621","1.016"
"146","0.3063","0.4411","0.00006745","1.018"
"147","0.3074","0.4429","0.0000687","1.019"
"148","0.3074","0.4435","0.00006997","1.02"
"149","0.3071","0.4436","0.00007127","1.021"
"150","0.3077","0.4449","0.00007258","1.022"
"151","0.3081","0.4456","0.00007394","1.023"
"152","0.3096","0.4477","0.0000753","1.023"
"153","0.3097","0.4487","0.00007669","1.024"
"154","0.3125","0.4494","0.00007812","1.017"
"155","0.3117","0.4491","0.00007955","1.019"
"156","0.3116","0.4491","0.00008104","1.019"
"157","0.3137","0.4515","0.00008255","1.018"
"158","0.3141","0.4515","0.00008408","1.017"
"159","0.314","0.4513","0.00008563","1.016"
"160","0.3156","0.4539","0.00008722","1.017"
"161","0.3169","0.4563","0.00008883","1.018"
"162","0.3169","0.4571","0.00009048","1.02"
"163","0.3178","0.4584","0.00009216","1.02"
"164","0.3188","0.4606","0.00009388","1.022"
"165","0.3203","0.4632","0.0000956","1.022"
"166","0.3192","0.461","0.00009737","1.021"
"167","0.321","0.4625","0.0000992","1.019"
"168","0.3224","0.4653","0.000101","1.021"
"169","0.3222","0.466","0.0001029","1.023"
"170","0.323","0.4679","0.0001048","1.024"
"171","0.3246","0.4707","0.0001067","1.025"
"172","0.3257","0.4719","0.0001087","1.024"
"173","0.3275","0.4744","0.0001107","1.024"
"174","0.3277","0.4725","0.0001128","1.019"
"175","0.3282","0.4739","0.0001149","1.021"
"176","0.3282","0.4748","0.000117","1.023"
"177","0.329","0.4753","0.0001192","1.022"
"178","0.3298","0.4756","0.0001214","1.02"
"179","0.3304","0.4759","0.0001237","1.019"
"180","0.3289","0.4753","0.000126","1.022"
"181","0.3295","0.477","0.0001283","1.024"
"182","0.3287","0.4769","0.0001307","1.026"
"183","0.3314","0.4801","0.000133","1.025"
"184","0.3334","0.4834","0.0001355","1.025"
"185","0.3332","0.4824","0.0001381","1.024"
"186","0.3311","0.4795","0.0001406","1.024"
"187","0.3341","0.4806","0.0001432","1.017"
"188","0.334","0.4808","0.0001459","1.018"
"189","0.3357","0.4835","0.0001486","1.018"
"190","0.336","0.4834","0.0001513","1.017"
"191","0.3388","0.4854","0.0001541","1.013"
"192","0.3401","0.487","0.000157","1.012"
"193","0.3406","0.488","0.0001599","1.013"
"194","0.3407","0.4873","0.0001629","1.011"
"195","0.3433","0.4902","0.0001658","1.01"
"196","0.3429","0.4891","0.0001689","1.009"
"197","0.3435","0.4887","0.000172","1.006"
"198","0.3429","0.487","0.0001753","1.004"
"199","0.3441","0.4875","0.0001785","1.002"
"200","0.3449","0.4877","0.0001818","1"
"201","0.3451","0.4867","0.0001852","0.9973"
"202","0.3438","0.4839","0.0001887","0.9953"
"203","0.3422","0.4806","0.0001922","0.9932"
"204","0.342","0.479","0.0001957","0.9903"
"205","0.3398","0.4748","0.0001993","0.988"
"206","0.3378","0.4702","0.000203","0.9843"
"207","0.3354","0.466","0.0002068","0.9823"
"208","0.334","0.4625","0.0002107","0.9791"
"209","0.3337","0.4607","0.0002146","0.9762"
"210","0.3365","0.4638","0.0002185","0.9746"
"211","0.3357","0.4623","0.0002226","0.9739"
"212","0.3359","0.4623","0.0002267","0.9731"
"213","0.3368","0.4622","0.0002309","0.9703"
"214","0.335","0.4627","0.0002351","0.9767"
"215","0.3348","0.4614","0.0002395","0.9746"
"216","0.3355","0.4624","0.000244","0.9745"
"217","0.3355","0.4604","0.0002485","0.9703"
"218","0.3367","0.4623","0.0002531","0.9709"
"219","0.3355","0.4597","0.0002577","0.9689"
"220","0.3391","0.4648","0.0002625","0.9692"
"221","0.3401","0.4663","0.0002674","0.9695"
"222","0.3422","0.4717","0.0002724","0.9746"
"223","0.346","0.4771","0.0002774","0.9751"
"224","0.3449","0.4775","0.0002826","0.9789"
"225","0.3468","0.4798","0.0002878","0.9784"
"226","0.3464","0.4777","0.0002931","0.9753"
"227","0.3468","0.4774","0.0002986","0.9735"
"228","0.3443","0.4738","0.0003041","0.973"
"229","0.3412","0.4705","0.0003097","0.9751"
"230","0.3405","0.471","0.0003155","0.9782"
"231","0.3398","0.4698","0.0003214","0.9777"
"232","0.3395","0.4693","0.0003273","0.9775"
"233","0.3387","0.4673","0.0003334","0.9757"
"234","0.342","0.4716","0.0003395","0.9751"
"235","0.3447","0.4766","0.0003459","0.9777"
"236","0.3472","0.48","0.0003523","0.9777"
"237","0.3502","0.4852","0.0003588","0.9797"
"238","0.3505","0.491","0.0003654","0.9904"
"239","0.3525","0.4951","0.0003722","0.9931"
"240","0.3537","0.4985","0.0003791","0.9966"
"241","0.3527","0.4985","0.0003861","0.9994"
"242","0.3508","0.4977","0.0003933","1.003"
"243","0.3525","0.5017","0.0004006","1.006"
"244","0.3533","0.5047","0.000408","1.01"
"245","0.354","0.5077","0.0004156","1.014"
"246","0.3562","0.5114","0.0004233","1.015"
"247","0.3592","0.5177","0.0004312","1.019"
"248","0.3609","0.5233","0.0004391","1.025"
"249","0.3646","0.5314","0.0004472","1.03"
"250","0.3633","0.5321","0.0004555","1.036"
"251","0.3643","0.5322","0.000464","1.033"
"252","0.363","0.5285","0.0004726","1.03"
"253","0.3632","0.5258","0.0004814","1.024"
"254","0.3603","0.5253","0.0004902","1.031"
"255","0.3612","0.5274","0.0004994","1.032"
"256","0.3627","0.5285","0.0005086","1.03"
"257","0.3637","0.5265","0.000518","1.023"
"258","0.36","0.5182","0.0005276","1.018"
"259","0.3577","0.5119","0.0005374","1.012"
"260","0.3533","0.5017","0.0005474","1.004"
"261","0.3498","0.4914","0.0005575","0.9935"
"262","0.3473","0.4835","0.0005679","0.9845"
"263","0.3472","0.4794","0.0005784","0.9762"
"264","0.3499","0.4797","0.0005891","0.9694"
"265","0.352","0.4807","0.0006001","0.9656"
"266","0.3548","0.4852","0.0006112","0.9668"
"267","0.3564","0.4898","0.0006225","0.9719"
"268","0.3585","0.4899","0.000634","0.9661"
"269","0.3603","0.4905","0.0006458","0.9626"
"270","0.3513","0.4824","0.0006577","0.971"
"271","0.3513","0.4809","0.00067","0.9681"
"272","0.3525","0.4831","0.0006824","0.9692"
"273","0.355","0.4887","0.000695","0.9736"
"274","0.3614","0.5017","0.0007079","0.9816"
"275","0.3657","0.5109","0.000721","0.9878"
"276","0.3629","0.5113","0.0007344","0.9964"
"277","0.3631","0.5168","0.000748","1.006"
"278","0.3702","0.5312","0.0007619","1.015"
"279","0.3762","0.5428","0.000776","1.02"
"280","0.3737","0.5443","0.0007904","1.03"
"281","0.3681","0.543","0.0008051","1.043"
"282","0.3685","0.541","0.0008199","1.038"
"283","0.3666","0.5344","0.0008352","1.031"
"284","0.3614","0.5218","0.0008506","1.021"
"285","0.3611","0.5181","0.0008664","1.015"
"286","0.3529","0.5022","0.0008825","1.006"
"287","0.3428","0.4821","0.0008988","0.9944"
"288","0.3419","0.4757","0.0009155","0.9839"
"289","0.3418","0.471","0.0009325","0.9745"
"290","0.3463","0.4713","0.0009497","0.9624"
"291","0.3515","0.4785","0.0009674","0.9626"
"292","0.3518","0.4806","0.0009853","0.9659"
"293","0.3535","0.4838","0.001004","0.9679"
"294","0.3487","0.4798","0.001022","0.9729"
"295","0.3529","0.4881","0.001041","0.9781"
"296","0.3543","0.4946","0.00106","0.987"
"297","0.3511","0.4985","0.00108","1.004"
"298","0.3501","0.5067","0.0011","1.023"
"299","0.3507","0.5141","0.00112","1.036"
"300","0.3519","0.5185","0.001141","1.042"
"301","0.3514","0.5152","0.001162","1.037"
"302","0.3528","0.52","0.001184","1.042"
"303","0.3558","0.514","0.001206","1.021"
"304","0.3475","0.4942","0.001228","1.006"
"305","0.3397","0.4744","0.001251","0.9875"
"306","0.3372","0.4634","0.001274","0.9716"
"307","0.3378","0.4589","0.001298","0.9605"
"308","0.3423","0.4662","0.001322","0.9632"
"309","0.3328","0.4549","0.001346","0.9664"
"310","0.329","0.4526","0.001371","0.9726"
"311","0.3336","0.4621","0.001397","0.9794"
"312","0.3338","0.4688","0.001423","0.993"
"313","0.3373","0.4803","0.001449","1.007"
"314","0.3423","0.495","0.001476","1.022"
"315","0.3378","0.4969","0.001503","1.04"
"316","0.3343","0.4909","0.001531","1.038"
"317","0.3322","0.4799","0.00156","1.022"
"318","0.3218","0.4544","0.001588","0.9984"
"319","0.3194","0.4403","0.001618","0.9746"
"320","0.3248","0.4406","0.001648","0.9592"
"321","0.3259","0.4443","0.001678","0.964"
"322","0.3199","0.4371","0.001709","0.9662"
"323","0.3282","0.4516","0.001741","0.9731"
"324","0.3314","0.4666","0.001773","0.9956"
"325","0.3417","0.4905","0.001806","1.015"
"326","0.3319","0.4885","0.00184","1.041"
"327","0.3256","0.4791","0.001874","1.041"
"328","0.3167","0.4608","0.001909","1.029"
"329","0.3046","0.4318","0.001944","1.003"
"330","0.3077","0.4264","0.00198","0.9798"
"331","0.315","0.4292","0.002017","0.9635"
"332","0.312","0.425","0.002054","0.9633"
"333","0.314","0.4335","0.002092","0.9762"
"334","0.3131","0.4477","0.002131","1.011"
"335","0.3114","0.4573","0.002171","1.039"
"336","0.3116","0.4628","0.002211","1.05"
"337","0.3115","0.4499","0.002252","1.021"
"338","0.3016","0.4212","0.002293","0.9875"
"339","0.3019","0.41","0.002336","0.9603"
"340","0.2965","0.4015","0.002379","0.9573"
"341","0.2961","0.4055","0.002423","0.9686"
"342","0.2986","0.4179","0.002468","0.9897"
"343","0.3028","0.4365","0.002514","1.019"
"344","0.2942","0.4331","0.002561","1.041"
"345","0.2895","0.4134","0.002608","1.01"
"346","0.285","0.3917","0.002656","0.9718"
"347","0.2915","0.3922","0.002706","0.9512"
"348","0.2886","0.3846","0.002756","0.9422"
"349","0.2968","0.4128","0.002807","0.9834"
"350","0.3004","0.4317","0.002859","1.016"
"351","0.2859","0.4213","0.002912","1.042"
"352","0.2694","0.3857","0.002966","1.012"
"353","0.2741","0.3791","0.003021","0.9781"
"354","0.2797","0.381","0.003077","0.9634"
"355","0.2802","0.3891","0.003134","0.9818"
"356","0.2795","0.4068","0.003192","1.029"
"357","0.2791","0.4121","0.003251","1.044"
"358","0.2693","0.3815","0.003312","1.002"
"359","0.2706","0.3679","0.003373","0.9612"
"360","0.2642","0.3579","0.003435","0.9581"
"361","0.2692","0.3753","0.003499","0.9857"
"362","0.2686","0.3911","0.003564","1.03"
"363","0.2624","0.3802","0.00363","1.024"
"364","0.2594","0.3567","0.003697","0.9723"
"365","0.2607","0.3509","0.003766","0.9519"
"366","0.2715","0.3764","0.003836","0.9805"
"367","0.2659","0.3873","0.003907","1.03"
"368","0.2475","0.3574","0.003979","1.021"
"369","0.2514","0.347","0.004053","0.976"
"370","0.2515","0.3415","0.004128","0.9603"
"371","0.2555","0.3654","0.004205","1.011"
"372","0.2507","0.376","0.004283","1.06"
"373","0.2445","0.3469","0.004362","1.003"
"374","0.2447","0.3347","0.004443","0.9674"
"375","0.2468","0.3438","0.004525","0.9852"
"376","0.2429","0.358","0.004609","1.042"
"377","0.2372","0.334","0.004695","0.9958"
"378","0.2421","0.3245","0.004782","0.9476"
"379","0.2513","0.3442","0.00487","0.9685"
"380","0.2376","0.3461","0.004961","1.03"
"381","0.2213","0.3102","0.005052","0.9911"
"382","0.2316","0.3132","0.005146","0.9565"
"383","0.2354","0.3378","0.005241","1.015"
"384","0.2307","0.3418","0.005339","1.048"
"385","0.2267","0.3118","0.005438","0.9725"
"386","0.2276","0.3123","0.005538","0.9704"
"387","0.2256","0.3305","0.005641","1.036"
"388","0.2211","0.3075","0.005746","0.9834"
"389","0.2265","0.3047","0.005852","0.9513"
"390","0.2302","0.3309","0.005961","1.017"
"391","0.2052","0.2925","0.006071","1.008"
"392","0.2159","0.2941","0.006184","0.9632"
"393","0.2167","0.3178","0.006298","1.037"
"394","0.2095","0.2993","0.006415","1.01"
"395","0.2108","0.287","0.006534","0.9626"
"396","0.2147","0.3118","0.006655","1.027"
"397","0.2089","0.2905","0.006778","0.9835"
"398","0.2173","0.2948","0.006904","0.9594"
"399","0.2053","0.3017","0.007032","1.039"
"400","0.1977","0.2724","0.007162","0.9744"
"401","0.2075","0.2962","0.007295","1.009"
"402","0.1988","0.288","0.00743","1.025"
"403","0.1991","0.2712","0.007568","0.9633"
"404","0.2005","0.2939","0.007708","1.037"
"405","0.2013","0.2734","0.007851","0.9604"
"406","0.2101","0.2954","0.007997","0.9943"
"407","0.1818","0.2569","0.008145","0.9995"
"408","0.1948","0.2708","0.008296","0.9831"
"409","0.1887","0.2765","0.00845","1.036"
"410","0.1892","0.2582","0.008607","0.9648"
"411","0.1895","0.2776","0.008766","1.036"
"412","0.1937","0.2598","0.008929","0.9487"
"413","0.1852","0.2722","0.009094","1.039"
"414","0.1808","0.2478","0.009263","0.9689"
"415","0.1818","0.2718","0.009434","1.057"
"416","0.1804","0.2466","0.009609","0.9663"
"417","0.1817","0.267","0.009787","1.039"
"418","0.1866","0.251","0.009969","0.9513"
"419","0.1708","0.2498","0.01015","1.034"
"420","0.1758","0.2429","0.01034","0.9768"
"421","0.1705","0.247","0.01053","1.024"
"422","0.1776","0.2504","0.01073","0.9968"
"423","0.1757","0.2427","0.01093","0.9769"
"424","0.1768","0.2559","0.01113","1.023"
"425","0.1655","0.2264","0.01134","0.9673"
"426","0.1637","0.2407","0.01155","1.04"
"427","0.1704","0.2402","0.01176","0.9969"
