"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"136","0.1165","0.1651","0.02364","1.002"
"137","0.1159","0.1612","0.02321","0.9836"
"138","0.1318","0.1788","0.02278","0.9588"
"139","0.1211","0.1718","0.02237","1.003"
"140","0.1251","0.1787","0.02196","1.01"
"141","0.1225","0.1742","0.02156","1.006"
"142","0.1213","0.1721","0.02117","1.003"
"143","0.133","0.1821","0.02078","0.9684"
"144","0.1227","0.1682","0.02041","0.9693"
"145","0.1275","0.1746","0.02003","0.9683"
"146","0.1421","0.1917","0.01967","0.9538"
"147","0.13","0.1786","0.01931","0.9713"
"148","0.1332","0.1829","0.01896","0.9707"
"149","0.147","0.1984","0.01861","0.9543"
"150","0.1335","0.1828","0.01828","0.9684"
"151","0.1357","0.1854","0.01794","0.9659"
"152","0.1477","0.1987","0.01762","0.9514"
"153","0.1329","0.182","0.0173","0.9685"
"154","0.1363","0.1904","0.01698","0.9873"
"155","0.1461","0.206","0.01667","0.9967"
"156","0.14","0.2009","0.01637","1.015"
"157","0.1435","0.2093","0.01607","1.031"
"158","0.1489","0.209","0.01578","0.9928"
"159","0.16","0.2153","0.01549","0.9511"
"160","0.1419","0.1937","0.01521","0.9652"
"161","0.1449","0.2064","0.01493","1.007"
"162","0.1542","0.2232","0.01466","1.023"
"163","0.1659","0.2297","0.01439","0.9791"
"164","0.1499","0.204","0.01413","0.9628"
"165","0.1505","0.2124","0.01387","0.998"
"166","0.1597","0.232","0.01362","1.027"
"167","0.1726","0.2359","0.01337","0.9665"
"168","0.1522","0.2083","0.01313","0.9674"
"169","0.1558","0.2284","0.01289","1.036"
"170","0.1659","0.2333","0.01266","0.9943"
"171","0.1715","0.231","0.01243","0.9525"
"172","0.158","0.2284","0.0122","1.023"
"173","0.1668","0.2337","0.01198","0.9907"
"174","0.1637","0.2263","0.01176","0.9776"
"175","0.1718","0.2502","0.01155","1.03"
"176","0.1814","0.2436","0.01134","0.9497"
"177","0.1612","0.2312","0.01113","1.014"
"178","0.1744","0.2472","0.01093","1.002"
"179","0.1707","0.2377","0.01073","0.9849"
"180","0.18","0.2608","0.01053","1.025"
"181","0.1851","0.2499","0.01034","0.9549"
"182","0.1788","0.2622","0.01015","1.037"
"183","0.1766","0.2422","0.009969","0.9695"
"184","0.1781","0.2658","0.009788","1.055"
"185","0.1824","0.2496","0.009609","0.9672"
"186","0.1861","0.2723","0.009434","1.034"
"187","0.195","0.2623","0.009263","0.9512"
"188","0.1825","0.2679","0.009094","1.038"
"189","0.1852","0.2535","0.008929","0.9681"
"190","0.1873","0.2804","0.008766","1.058"
"191","0.1896","0.2609","0.008607","0.9727"
"192","0.1972","0.2875","0.00845","1.031"
"193","0.2001","0.2754","0.008296","0.9734"
"194","0.212","0.2982","0.008145","0.9947"
"195","0.1846","0.2655","0.007997","1.017"
"196","0.1986","0.2751","0.007851","0.9792"
"197","0.1984","0.2971","0.007709","1.059"
"198","0.1998","0.2738","0.007568","0.9687"
"199","0.2095","0.2996","0.007431","1.011"
"200","0.2069","0.2911","0.007295","0.9948"
"201","0.2158","0.2918","0.007162","0.956"
"202","0.2074","0.3052","0.007032","1.04"
"203","0.2005","0.2785","0.006904","0.9823"
"204","0.2144","0.3027","0.006779","0.9985"
"205","0.2111","0.3143","0.006655","1.053"
