"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.008863","0.01256","0.000004703","1.002"
"2","0.0202","0.02866","0.000004789","1.003"
"3","0.03102","0.04401","0.000004879","1.003"
"4","0.04156","0.05897","0.000004967","1.003"
"5","0.05181","0.0735","0.000005062","1.003"
"6","0.06176","0.0877","0.000005151","1.004"
"7","0.07148","0.1015","0.000005249","1.004"
"8","0.08076","0.1147","0.000005337","1.004"
"9","0.08947","0.1272","0.000005442","1.005"
"10","0.09739","0.1384","0.00000555","1.005"
"11","0.1041","0.1479","0.000005646","1.005"
"12","0.1092","0.1552","0.000005752","1.005"
"13","0.1132","0.1609","0.000005861","1.005"
"14","0.1153","0.1639","0.000005971","1.006"
"15","0.1161","0.1653","0.000006077","1.007"
"16","0.1162","0.1654","0.000006192","1.006"
"17","0.1154","0.1642","0.000006314","1.006"
"18","0.1144","0.1629","0.000006432","1.007"
"19","0.1134","0.1615","0.000006547","1.007"
"20","0.1127","0.1604","0.00000667","1.006"
"21","0.1121","0.1596","0.000006787","1.007"
"22","0.1117","0.1591","0.000006917","1.007"
"23","0.1115","0.1587","0.000007041","1.007"
"24","0.1112","0.1584","0.000007175","1.007"
"25","0.1111","0.1582","0.000007305","1.007"
"26","0.1112","0.1584","0.000007445","1.007"
"27","0.1113","0.1586","0.000007576","1.007"
"28","0.1115","0.1588","0.000007719","1.007"
"29","0.1116","0.1589","0.000007864","1.007"
"30","0.1118","0.1593","0.000008007","1.007"
"31","0.1122","0.1598","0.00000815","1.007"
"32","0.1124","0.1602","0.000008314","1.008"
"33","0.1128","0.1607","0.000008464","1.008"
"34","0.1131","0.1612","0.000008624","1.008"
"35","0.1134","0.1616","0.000008782","1.008"
"36","0.1134","0.1618","0.000008943","1.009"
"37","0.1134","0.1617","0.000009119","1.008"
"38","0.1135","0.1618","0.000009276","1.008"
"39","0.1138","0.1623","0.000009451","1.008"
"40","0.1139","0.1625","0.000009626","1.009"
"41","0.1141","0.1627","0.000009805","1.009"
"42","0.1142","0.1629","0.000009982","1.009"
"43","0.1143","0.1631","0.00001017","1.009"
"44","0.1149","0.1637","0.00001036","1.008"
"45","0.1151","0.1643","0.00001055","1.009"
"46","0.1154","0.1646","0.00001074","1.009"
"47","0.1156","0.165","0.00001095","1.009"
"48","0.116","0.1654","0.00001115","1.009"
"49","0.1163","0.1659","0.00001135","1.009"
"50","0.1164","0.1662","0.00001157","1.009"
"51","0.1165","0.1664","0.00001178","1.01"
"52","0.1167","0.1667","0.000012","1.009"
"53","0.1171","0.1667","0.00001222","1.007"
"54","0.1175","0.1673","0.00001245","1.007"
"55","0.1178","0.1678","0.00001268","1.007"
"56","0.118","0.168","0.00001292","1.007"
"57","0.1181","0.1684","0.00001315","1.008"
"58","0.1185","0.1689","0.00001339","1.008"
"59","0.1189","0.1694","0.00001365","1.008"
"60","0.1191","0.1698","0.00001389","1.008"
"61","0.1194","0.1702","0.00001415","1.008"
"62","0.1195","0.1704","0.00001442","1.008"
"63","0.1193","0.1702","0.00001469","1.008"
"64","0.1194","0.1704","0.00001495","1.009"
"65","0.1196","0.1707","0.00001524","1.009"
"66","0.1201","0.1716","0.00001552","1.01"
"67","0.1206","0.1722","0.0000158","1.01"
"68","0.1209","0.1728","0.00001609","1.01"
"69","0.1214","0.1736","0.00001639","1.011"
"70","0.1219","0.1743","0.0000167","1.011"
"71","0.1221","0.1747","0.00001701","1.011"
"72","0.1218","0.1744","0.00001732","1.012"
"73","0.1217","0.1744","0.00001764","1.013"
"74","0.1223","0.1752","0.00001797","1.013"
"75","0.1226","0.1756","0.0000183","1.013"
"76","0.123","0.1761","0.00001864","1.012"
"77","0.1236","0.1769","0.00001899","1.012"
"78","0.1237","0.1773","0.00001935","1.013"
"79","0.1239","0.1775","0.0000197","1.013"
"80","0.1237","0.1774","0.00002007","1.014"
"81","0.1234","0.177","0.00002044","1.014"
"82","0.1235","0.1771","0.00002082","1.014"
"83","0.1239","0.1777","0.0000212","1.014"
"84","0.1239","0.1779","0.0000216","1.015"
"85","0.1241","0.1781","0.000022","1.015"
"86","0.1244","0.1787","0.00002241","1.016"
"87","0.1247","0.1793","0.00002282","1.017"
"88","0.1247","0.1793","0.00002324","1.016"
"89","0.1251","0.1799","0.00002367","1.017"
"90","0.1249","0.1797","0.00002411","1.017"
"91","0.1249","0.1798","0.00002456","1.018"
"92","0.1254","0.1804","0.00002501","1.017"
"93","0.126","0.1801","0.00002549","1.011"
"94","0.1255","0.1795","0.00002595","1.012"
"95","0.1251","0.179","0.00002644","1.012"
"96","0.1248","0.1787","0.00002692","1.013"
"97","0.1246","0.1786","0.00002743","1.013"
"98","0.1246","0.1787","0.00002793","1.014"
"99","0.1249","0.1792","0.00002845","1.014"
"100","0.1257","0.1804","0.00002898","1.015"
"101","0.1256","0.1803","0.00002952","1.015"
"102","0.1255","0.1803","0.00003005","1.016"
"103","0.125","0.1797","0.00003061","1.017"
"104","0.1251","0.1799","0.00003118","1.017"
"105","0.125","0.18","0.00003175","1.018"
"106","0.1252","0.1802","0.00003234","1.018"
"107","0.1254","0.1807","0.00003295","1.019"
"108","0.1252","0.1805","0.00003356","1.019"
"109","0.1246","0.1796","0.00003418","1.019"
"110","0.1243","0.1789","0.00003482","1.018"
"111","0.1234","0.1776","0.00003546","1.018"
"112","0.1235","0.1778","0.00003612","1.018"
"113","0.1239","0.1785","0.00003678","1.019"
"114","0.1235","0.178","0.00003747","1.019"
"115","0.1235","0.1781","0.00003817","1.02"
"116","0.1231","0.1777","0.00003887","1.021"
"117","0.1232","0.178","0.00003959","1.021"
"118","0.1228","0.1773","0.00004032","1.021"
"119","0.123","0.1775","0.00004108","1.02"
"120","0.1223","0.1764","0.00004183","1.02"
"121","0.1218","0.1755","0.0000426","1.019"
"122","0.1216","0.1751","0.0000434","1.018"
"123","0.1214","0.1749","0.0000442","1.019"
"124","0.1213","0.1748","0.00004502","1.019"
"125","0.1211","0.1747","0.00004586","1.02"
"126","0.1205","0.174","0.00004671","1.021"
"127","0.1199","0.1733","0.00004758","1.022"
"128","0.12","0.1735","0.00004846","1.022"
"129","0.1196","0.1725","0.00004935","1.02"
"130","0.1192","0.1719","0.00005027","1.02"
"131","0.1194","0.1719","0.00005121","1.019"
"132","0.1188","0.1711","0.00005216","1.018"
"133","0.1187","0.171","0.00005312","1.019"
"134","0.1179","0.1699","0.00005411","1.019"
"135","0.1174","0.1694","0.00005511","1.02"
"136","0.1177","0.1698","0.00005613","1.02"
"137","0.118","0.1703","0.00005717","1.02"
"138","0.1168","0.1687","0.00005823","1.021"
"139","0.1164","0.1683","0.0000593","1.022"
"140","0.1163","0.168","0.00006041","1.021"
"141","0.1158","0.1673","0.00006149","1.022"
"142","0.116","0.1665","0.00006267","1.015"
"143","0.1153","0.1658","0.00006383","1.016"
"144","0.1146","0.1649","0.00006501","1.017"
"145","0.1136","0.1635","0.00006621","1.018"
"146","0.1135","0.1634","0.00006744","1.017"
"147","0.1122","0.1616","0.00006869","1.019"
"148","0.1117","0.1609","0.00006997","1.019"
"149","0.111","0.1601","0.00007127","1.02"
"150","0.1108","0.1598","0.00007258","1.02"
"151","0.1103","0.1592","0.00007392","1.021"
"152","0.1101","0.159","0.0000753","1.021"
"153","0.1094","0.1582","0.0000767","1.023"
"154","0.1092","0.1577","0.00007813","1.021"
"155","0.1083","0.1566","0.00007958","1.022"
"156","0.1084","0.1564","0.00008104","1.02"
"157","0.1085","0.1561","0.00008255","1.018"
"158","0.1077","0.1554","0.00008407","1.02"
"159","0.1074","0.1551","0.00008563","1.021"
"160","0.1071","0.1549","0.00008722","1.023"
"161","0.107","0.155","0.00008884","1.025"
"162","0.1078","0.1563","0.00009048","1.026"
"163","0.1076","0.1559","0.00009216","1.025"
"164","0.1071","0.1549","0.00009387","1.023"
"165","0.1069","0.1548","0.00009562","1.023"
"166","0.1076","0.1549","0.00009739","1.018"
"167","0.1071","0.1547","0.00009918","1.021"
"168","0.1069","0.1546","0.000101","1.023"
"169","0.1065","0.1543","0.0001029","1.024"
"170","0.1064","0.1545","0.0001048","1.026"
"171","0.1061","0.1541","0.0001068","1.027"
"172","0.106","0.1541","0.0001087","1.028"
"173","0.1066","0.1547","0.0001107","1.026"
"174","0.1062","0.1533","0.0001128","1.021"
"175","0.1061","0.1534","0.0001149","1.022"
"176","0.1062","0.1536","0.000117","1.023"
"177","0.1065","0.1543","0.0001192","1.024"
"178","0.1063","0.154","0.0001214","1.025"
"179","0.1061","0.1534","0.0001236","1.022"
"180","0.106","0.1534","0.0001259","1.023"
"181","0.1059","0.1534","0.0001283","1.024"
"182","0.1062","0.1538","0.0001306","1.024"
"183","0.1065","0.1542","0.0001331","1.024"
"184","0.1063","0.1536","0.0001355","1.022"
"185","0.1063","0.1533","0.000138","1.02"
"186","0.1063","0.1532","0.0001406","1.02"
"187","0.1063","0.1522","0.0001432","1.013"
"188","0.1059","0.1516","0.0001458","1.012"
"189","0.1062","0.1518","0.0001486","1.011"
"190","0.1057","0.151","0.0001513","1.01"
"191","0.1066","0.152","0.0001541","1.009"
"192","0.1067","0.1519","0.000157","1.007"
"193","0.1071","0.1523","0.0001599","1.006"
"194","0.1066","0.1514","0.0001628","1.004"
"195","0.1056","0.1495","0.0001659","1.002"
"196","0.1047","0.1481","0.000169","1"
"197","0.1046","0.1475","0.0001721","0.9974"
"198","0.104","0.1465","0.0001753","0.996"
"199","0.104","0.1462","0.0001785","0.9943"
"200","0.1032","0.1447","0.0001818","0.9921"
"201","0.1021","0.143","0.0001852","0.9902"
