"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.03508","0.05064","0.2821","1.021"
"2","0.03403","0.04908","0.277","1.02"
"3","0.03297","0.04745","0.272","1.018"
"4","0.03174","0.04572","0.267","1.019"
"5","0.03289","0.04747","0.2621","1.021"
"6","0.03196","0.04603","0.2574","1.019"
"7","0.03171","0.04567","0.2527","1.018"
"8","0.03131","0.04503","0.2481","1.017"
"9","0.03161","0.04547","0.2436","1.017"
"10","0.03049","0.04384","0.2391","1.017"
"11","0.03032","0.04362","0.2348","1.017"
"12","0.03038","0.04364","0.2305","1.016"
"13","0.03027","0.0435","0.2263","1.016"
"14","0.03013","0.04327","0.2222","1.016"
"15","0.03","0.04305","0.2182","1.015"
"16","0.03004","0.0431","0.2142","1.015"
"17","0.02927","0.042","0.2103","1.015"
"18","0.02942","0.04225","0.2065","1.016"
"19","0.02931","0.04204","0.2027","1.014"
"20","0.02858","0.04098","0.199","1.014"
"21","0.02891","0.04147","0.1954","1.014"
"22","0.02857","0.04099","0.1918","1.014"
"23","0.02747","0.0393","0.1884","1.012"
"24","0.02905","0.04156","0.1849","1.012"
"25","0.02896","0.04139","0.1816","1.011"
"26","0.02794","0.04005","0.1783","1.013"
"27","0.02715","0.03892","0.175","1.014"
"28","0.02643","0.03773","0.1718","1.009"
"29","0.02643","0.03771","0.1687","1.009"
"30","0.02646","0.03786","0.1656","1.012"
"31","0.02701","0.03872","0.1626","1.014"
"32","0.02778","0.0396","0.1597","1.008"
"33","0.02788","0.03977","0.1567","1.008"
"34","0.0266","0.0379","0.1539","1.008"
"35","0.02626","0.03748","0.1511","1.009"
"36","0.02749","0.03916","0.1483","1.008"
"37","0.02611","0.03717","0.1456","1.006"
"38","0.02718","0.03886","0.143","1.011"
"39","0.02623","0.03724","0.1404","1.004"
"40","0.02719","0.0388","0.1379","1.009"
"41","0.02596","0.03706","0.1353","1.009"
"42","0.02634","0.03752","0.1328","1.007"
"43","0.02649","0.03781","0.1305","1.009"
"44","0.02613","0.03728","0.1281","1.009"
"45","0.02642","0.0375","0.1257","1.004"
"46","0.02632","0.03737","0.1234","1.004"
"47","0.02671","0.03798","0.1212","1.005"
"48","0.02638","0.03749","0.119","1.005"
"49","0.02646","0.03752","0.1168","1.003"
"50","0.02644","0.03749","0.1147","1.003"
"51","0.02653","0.03763","0.1126","1.003"
"52","0.02657","0.03775","0.1106","1.004"
"53","0.02662","0.03775","0.1086","1.003"
"54","0.02636","0.0373","0.1066","1"
"55","0.02659","0.03786","0.1046","1.007"
"56","0.02686","0.03801","0.1027","1.001"
"57","0.02728","0.03881","0.1009","1.006"
"58","0.02721","0.0386","0.09903","1.003"
"59","0.02663","0.03754","0.09723","0.9968"
"60","0.02724","0.03848","0.09546","0.9988"
"61","0.02774","0.03908","0.09372","0.9962"
"62","0.027","0.03802","0.09201","0.9956"
"63","0.02766","0.03924","0.09034","1.003"
"64","0.02803","0.03981","0.08869","1.004"
"65","0.02818","0.03982","0.08708","0.999"
"66","0.0284","0.04017","0.0855","1"
"67","0.02846","0.0403","0.08394","1.001"
"68","0.02871","0.04067","0.08241","1.002"
"69","0.02889","0.04089","0.08091","1.001"
"70","0.02854","0.0402","0.07944","0.996"
"71","0.0297","0.04207","0.07799","1.001"
"72","0.02914","0.04129","0.07657","1.002"
"73","0.02975","0.04193","0.07518","0.9966"
"74","0.03027","0.04282","0.07381","1"
"75","0.02984","0.04229","0.07247","1.002"
"76","0.0298","0.04205","0.07115","0.9978"
"77","0.03114","0.04397","0.06986","0.9985"
