"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"162","0.2451","0.3542","0.00009048","1.022"
"163","0.2498","0.361","0.00009213","1.022"
"164","0.2748","0.3938","0.00009385","1.013"
"165","0.2931","0.4198","0.0000956","1.013"
"166","0.3189","0.4562","0.00009741","1.012"
"167","0.337","0.4823","0.0000992","1.012"
"168","0.3284","0.4705","0.000101","1.013"
"169","0.3021","0.4337","0.0001029","1.015"
"170","0.3261","0.4681","0.0001048","1.015"
"171","0.3689","0.5238","0.0001068","1.004"
"172","0.3965","0.5619","0.0001087","1.002"
"173","0.3848","0.5446","0.0001107","1.001"
"174","0.3451","0.4889","0.0001128","1.002"
"175","0.3288","0.4654","0.0001149","1.001"
"176","0.3102","0.4387","0.000117","0.9999"
"177","0.3062","0.4315","0.0001192","0.9965"
"178","0.3111","0.4367","0.0001215","0.9927"
"179","0.3101","0.4343","0.0001236","0.9901"
"180","0.3159","0.4416","0.000126","0.9884"
"181","0.2794","0.3915","0.0001282","0.9908"
"182","0.2665","0.3731","0.0001306","0.9897"
"183","0.26","0.3634","0.000133","0.9884"
"184","0.2585","0.3599","0.0001355","0.9843"
"185","0.2923","0.4061","0.0001381","0.9823"
"186","0.333","0.4593","0.0001406","0.9754"
"187","0.3255","0.4472","0.0001433","0.9714"
"188","0.323","0.4426","0.0001458","0.9687"
"189","0.3175","0.4345","0.0001487","0.9676"
"190","0.3002","0.4111","0.0001513","0.9683"
"191","0.306","0.4196","0.0001541","0.9697"
"192","0.31","0.425","0.000157","0.9692"
"193","0.3046","0.4167","0.00016","0.9674"
"194","0.2665","0.3689","0.0001628","0.9791"
"195","0.2698","0.3711","0.0001659","0.9726"
"196","0.2661","0.3679","0.000169","0.9775"
"197","0.2783","0.3859","0.0001721","0.9803"
"198","0.264","0.3667","0.0001753","0.9821"
"199","0.2487","0.3463","0.0001785","0.9845"
"200","0.2576","0.3574","0.0001818","0.9808"
"201","0.2601","0.3595","0.0001852","0.9774"
"202","0.2645","0.3645","0.0001887","0.9742"
"203","0.2764","0.3798","0.0001922","0.9717"
"204","0.2543","0.3493","0.0001957","0.9712"
"205","0.2704","0.3732","0.0001994","0.9761"
"206","0.2488","0.3467","0.000203","0.9853"
"207","0.2432","0.3397","0.0002068","0.9877"
"208","0.2513","0.3514","0.0002107","0.9886"
"209","0.2399","0.3356","0.0002145","0.9894"
"210","0.2687","0.3759","0.0002186","0.9891"
"211","0.2673","0.3732","0.0002226","0.9872"
"212","0.2619","0.364","0.0002267","0.9826"
"213","0.2607","0.3607","0.0002309","0.9783"
"214","0.2738","0.3774","0.0002353","0.9745"
"215","0.246","0.3376","0.0002395","0.9703"
"216","0.2527","0.3494","0.000244","0.9777"
"217","0.2721","0.3759","0.0002484","0.9769"
"218","0.2608","0.3577","0.0002531","0.9698"
"219","0.2714","0.371","0.0002578","0.9668"
"220","0.2813","0.3841","0.0002625","0.9655"
"221","0.263","0.3571","0.0002674","0.9599"
"222","0.2549","0.3519","0.0002723","0.9761"
"223","0.2478","0.3428","0.0002775","0.9781"
"224","0.2631","0.3635","0.0002826","0.9768"
"225","0.2604","0.3603","0.0002878","0.9783"
"226","0.2517","0.3496","0.0002931","0.9821"
"227","0.2492","0.3497","0.0002986","0.9924"
"228","0.2517","0.3557","0.0003042","0.9996"
"229","0.2537","0.3602","0.0003097","1.004"
"230","0.2912","0.4163","0.0003154","1.011"
"231","0.3002","0.4314","0.0003214","1.016"
"232","0.294","0.4275","0.0003272","1.028"
"233","0.3548","0.5132","0.0003335","1.023"
"234","0.3483","0.5053","0.0003396","1.026"
"235","0.3052","0.4452","0.0003458","1.032"
"236","0.297","0.4315","0.0003523","1.028"
"237","0.3226","0.4674","0.0003588","1.024"
"238","0.299","0.4342","0.0003654","1.027"
"239","0.3038","0.4407","0.0003722","1.026"
"240","0.2932","0.4278","0.0003791","1.032"
"241","0.2894","0.4227","0.0003861","1.033"
"242","0.2957","0.4347","0.0003933","1.039"
"243","0.2743","0.3993","0.0004006","1.029"
"244","0.2955","0.4326","0.0004081","1.035"
"245","0.304","0.4438","0.0004156","1.032"
"246","0.2773","0.4078","0.0004233","1.04"
"247","0.257","0.3743","0.000431","1.03"
"248","0.2436","0.3556","0.000439","1.032"
"249","0.2768","0.4065","0.0004473","1.038"
"250","0.2663","0.3891","0.0004556","1.033"
"251","0.2429","0.3513","0.0004639","1.023"
"252","0.2638","0.3794","0.0004725","1.017"
"253","0.2587","0.3666","0.0004813","1.002"
"254","0.2623","0.3673","0.0004903","0.9901"
"255","0.2676","0.3693","0.0004994","0.9759"
"256","0.2596","0.3519","0.0005086","0.9588"
"257","0.2603","0.3512","0.000518","0.9542"
"258","0.2668","0.36","0.0005275","0.9542"
"259","0.2396","0.3259","0.0005373","0.9617"
"260","0.242","0.3314","0.0005474","0.9686"
"261","0.2378","0.3265","0.0005576","0.9708"
"262","0.2563","0.3482","0.0005679","0.9606"
"263","0.254","0.3472","0.0005784","0.9663"
"264","0.2538","0.3472","0.000589","0.9671"
"265","0.2674","0.3648","0.0006001","0.9649"
"266","0.2485","0.3352","0.0006111","0.954"
"267","0.2668","0.3617","0.0006225","0.9587"
"268","0.2782","0.3837","0.000634","0.9753"
"269","0.3041","0.4206","0.0006457","0.9782"
"270","0.3215","0.4488","0.0006578","0.987"
"271","0.3002","0.4309","0.0006702","1.015"
"272","0.2903","0.4265","0.0006825","1.039"
"273","0.2983","0.4397","0.0006951","1.042"
"274","0.2958","0.4354","0.0007079","1.041"
"275","0.3215","0.4727","0.0007209","1.04"
"276","0.3339","0.4892","0.0007342","1.036"
"277","0.2887","0.4301","0.0007479","1.054"
"278","0.3232","0.4872","0.000762","1.066"
"279","0.2988","0.4463","0.000776","1.056"
"280","0.2893","0.4292","0.0007904","1.049"
"281","0.2708","0.3922","0.0008047","1.024"
"282","0.2732","0.3845","0.00082","0.9954"
"283","0.2674","0.3617","0.0008349","0.9565"
"284","0.2643","0.3469","0.0008506","0.928"
"285","0.2688","0.3532","0.0008664","0.929"
"286","0.2795","0.3695","0.0008825","0.935"
"287","0.2929","0.3934","0.0008989","0.9497"
"288","0.2787","0.375","0.0009156","0.9512"
"289","0.2974","0.401","0.0009325","0.9534"
"290","0.2836","0.3826","0.0009498","0.954"
"291","0.291","0.3985","0.0009673","0.9683"
"292","0.3033","0.4258","0.0009854","0.9927"
"293","0.2932","0.4238","0.001004","1.022"
"294","0.3147","0.4691","0.001022","1.054"
"295","0.3057","0.4528","0.001041","1.047"
"296","0.2964","0.4445","0.001061","1.06"
"297","0.3042","0.4641","0.00108","1.079"
"298","0.3084","0.4695","0.001101","1.076"
"299","0.2654","0.4072","0.00112","1.085"
"300","0.2901","0.4319","0.001141","1.053"
"301","0.2549","0.3664","0.001162","1.016"
"302","0.2674","0.3709","0.001184","0.9807"
"303","0.2736","0.3684","0.001206","0.9521"
"304","0.2668","0.3548","0.001228","0.9403"
"305","0.2601","0.3507","0.001251","0.9534"
"306","0.2776","0.3771","0.001274","0.9606"
"307","0.2766","0.3665","0.001298","0.9368"
"308","0.291","0.3904","0.001322","0.9487"
"309","0.2976","0.4148","0.001346","0.9853"
"310","0.3314","0.4748","0.001371","1.013"
"311","0.3108","0.4507","0.001397","1.025"
"312","0.3158","0.466","0.001423","1.044"
"313","0.3154","0.4766","0.001449","1.068"
"314","0.2674","0.4067","0.001476","1.075"
"315","0.2599","0.3811","0.001503","1.037"
"316","0.2561","0.36","0.001531","0.994"
"317","0.2679","0.3601","0.00156","0.9505"
"318","0.2505","0.3323","0.001588","0.938"
"319","0.2535","0.3337","0.001618","0.9308"
"320","0.253","0.3369","0.001648","0.9415"
"321","0.2938","0.4026","0.001678","0.969"
"322","0.2886","0.4172","0.00171","1.022"
"323","0.3069","0.4597","0.001741","1.059"
"324","0.3223","0.4997","0.001773","1.096"
"325","0.302","0.4786","0.001806","1.121"
"326","0.2926","0.4269","0.00184","1.032"
"327","0.2625","0.3534","0.001874","0.9522"
"328","0.292","0.3673","0.001909","0.8895"
"329","0.2689","0.3425","0.001944","0.9004"
"330","0.2661","0.3378","0.00198","0.8976"
"331","0.2962","0.3951","0.002017","0.9432"
"332","0.3","0.4321","0.002054","1.018"
"333","0.2981","0.4469","0.002092","1.06"
"334","0.3165","0.4971","0.002131","1.111"
"335","0.291","0.4536","0.002171","1.102"
"336","0.2804","0.405","0.002211","1.022"
"337","0.2761","0.3724","0.002252","0.9535"
"338","0.2822","0.3755","0.002293","0.9409"
"339","0.2911","0.3824","0.002336","0.929"
"340","0.3099","0.4305","0.002379","0.9822"
"341","0.3094","0.447","0.002423","1.022"
"342","0.333","0.508","0.002469","1.079"
"343","0.2772","0.4332","0.002514","1.105"
"344","0.2694","0.3901","0.002561","1.024"
"345","0.2644","0.3562","0.002608","0.9526"
"346","0.2669","0.3473","0.002656","0.9201"
"347","0.2912","0.3813","0.002706","0.926"
"348","0.307","0.4405","0.002756","1.015"
"349","0.3219","0.4924","0.002807","1.082"
"350","0.2957","0.448","0.002859","1.071"
"351","0.2789","0.3726","0.002912","0.9447"
"352","0.2953","0.3733","0.002966","0.8937"
"353","0.2829","0.3482","0.003021","0.8705"
"354","0.3027","0.4186","0.003077","0.9778"
"355","0.3165","0.4745","0.003134","1.06"
"356","0.3015","0.4776","0.003192","1.12"
"357","0.2845","0.4004","0.003251","0.9952"
"358","0.2866","0.3787","0.003312","0.9344"
"359","0.3052","0.3847","0.003373","0.8913"
"360","0.3188","0.4459","0.003436","0.9891"
"361","0.3445","0.5169","0.003499","1.061"
"362","0.2713","0.4189","0.003564","1.092"
"363","0.2712","0.3716","0.00363","0.969"
"364","0.2727","0.3519","0.003697","0.9125"
"365","0.2995","0.404","0.003766","0.9538"
"366","0.3266","0.4895","0.003835","1.06"
"367","0.3049","0.4625","0.003907","1.073"
"368","0.3134","0.4005","0.003979","0.9036"
"369","0.2909","0.3674","0.004052","0.8931"
"370","0.3111","0.4452","0.004128","1.012"
"371","0.3228","0.5134","0.004204","1.124"
"372","0.2889","0.4271","0.004283","1.046"
"373","0.3083","0.4212","0.004362","0.966"
"374","0.3301","0.4469","0.004443","0.9573"
"375","0.3449","0.511","0.004526","1.047"
"376","0.2736","0.4143","0.004609","1.071"
"377","0.2838","0.3826","0.004695","0.9533"
"378","0.2999","0.4","0.004782","0.9431"
"379","0.3233","0.4963","0.00487","1.085"
"380","0.2906","0.416","0.004961","1.012"
"381","0.2876","0.3608","0.005053","0.887"
"382","0.3113","0.4213","0.005146","0.9571"
"383","0.3195","0.5018","0.005242","1.111"
"384","0.2913","0.406","0.005339","0.9855"
"385","0.315","0.4052","0.005438","0.9096"
"386","0.3325","0.477","0.005538","1.014"
"387","0.2682","0.4007","0.005642","1.056"
"388","0.2807","0.3646","0.005746","0.9186"
"389","0.3087","0.4313","0.005852","0.9879"
"390","0.3024","0.4641","0.005961","1.085"
"391","0.298","0.3764","0.006072","0.8931"
"392","0.3109","0.4294","0.006183","0.9768"
"393","0.297","0.4738","0.006298","1.128"
"394","0.3019","0.4179","0.006415","0.9787"
"395","0.3232","0.458","0.006534","1.002"
"396","0.281","0.442","0.006655","1.112"
"397","0.2791","0.3786","0.006778","0.959"
"398","0.3152","0.4669","0.006905","1.048"
"399","0.2914","0.4197","0.007032","1.018"
"400","0.2925","0.3677","0.007162","0.8888"
"401","0.3187","0.4959","0.007296","1.1"
"402","0.2924","0.4049","0.007431","0.9791"
"403","0.3221","0.4493","0.007568","0.9863"
"404","0.2606","0.3951","0.007708","1.072"
"405","0.2847","0.3668","0.007851","0.911"
"406","0.3036","0.4703","0.007997","1.095"
"407","0.2857","0.3609","0.008145","0.8932"
"408","0.3159","0.4568","0.008296","1.022"
"409","0.287","0.3981","0.00845","0.9807"
"410","0.3207","0.4469","0.008606","0.9854"
"411","0.2515","0.3662","0.008766","1.03"
"412","0.2939","0.4038","0.008929","0.9717"
"413","0.286","0.4095","0.009095","1.013"
"414","0.298","0.3846","0.009263","0.9125"
"415","0.28","0.4082","0.009434","1.031"
"416","0.3171","0.4214","0.00961","0.9398"
"417","0.2447","0.3602","0.009787","1.041"
"418","0.2917","0.398","0.009968","0.9648"
"419","0.2844","0.3816","0.01015","0.9487"
"420","0.3024","0.4267","0.01034","0.9977"
"421","0.2855","0.3914","0.01053","0.9694"
"422","0.3007","0.4512","0.01073","1.061"
"423","0.2702","0.3541","0.01093","0.9266"
