,Friction Factor,Sliding Speed
0,0.3444066666666667,4.726666666666667e-06
1,0.40796666666666664,4.77e-06
2,0.3986,4.976666666666667e-06
3,0.39713333333333334,5.046666666666666e-06
4,0.4139333333333333,5.073333333333334e-06
5,0.41996666666666665,5.156666666666667e-06
6,0.4248,5.246666666666666e-06
7,0.43460000000000004,5.176666666666667e-06
8,0.45176666666666665,5.310000000000001e-06
9,0.4666333333333334,5.459999999999999e-06
10,0.4721,5.649999999999999e-06
11,0.4782333333333333,5.76e-06
12,0.4756666666666667,5.866666666666667e-06
13,0.47950000000000004,5.986666666666667e-06
14,0.4822666666666667,6.08e-06
15,0.48233333333333334,6.19e-06
16,0.4836666666666667,6.306666666666666e-06
17,0.4827333333333333,6.413333333333334e-06
18,0.4832666666666667,6.556666666666667e-06
19,0.48533333333333334,6.666666666666666e-06
20,0.4827333333333333,6.7733333333333326e-06
21,0.484,6.893333333333333e-06
22,0.48233333333333334,7.063333333333333e-06
23,0.486,7.186666666666667e-06
24,0.48966666666666664,7.243333333333333e-06
25,0.5366666666666666,7.463333333333334e-06
26,0.5533333333333333,7.593333333333334e-06
27,0.5760000000000001,7.663333333333333e-06
28,0.586,7.93e-06
29,0.5960000000000001,7.98e-06
30,0.5983333333333333,8.18e-06
31,0.602,8.32e-06
32,0.602,8.48e-06
33,0.5990000000000001,8.626666666666668e-06
34,0.5986666666666668,8.786666666666667e-06
35,0.5956666666666667,8.933333333333333e-06
36,0.5933333333333334,9.11e-06
37,0.59,9.276666666666667e-06
38,0.5863333333333333,9.463333333333333e-06
39,0.589,9.633333333333333e-06
40,0.5956666666666667,9.786666666666666e-06
41,0.6036666666666667,9.99e-06
42,0.6093333333333334,1.0199999999999999e-05
43,0.6126666666666667,1.04e-05
44,0.614,1.0533333333333331e-05
45,0.612,1.0733333333333333e-05
46,0.6096666666666667,1.0933333333333333e-05
47,0.6116666666666667,1.1133333333333332e-05
48,0.6110000000000001,1.1333333333333334e-05
49,0.6096666666666667,1.1566666666666667e-05
50,0.6046666666666666,1.18e-05
51,0.606,1.2e-05
52,0.609,1.22e-05
53,0.611,1.2433333333333333e-05
54,0.608,1.2700000000000002e-05
55,0.6093333333333333,1.29e-05
56,0.609,1.3233333333333334e-05
57,0.607,1.34e-05
58,0.608,1.3633333333333332e-05
59,0.6066666666666666,1.3866666666666667e-05
60,0.6026666666666667,1.4099999999999999e-05
61,0.6086666666666667,1.44e-05
62,0.6163333333333333,1.4666666666666666e-05
63,0.622,1.5e-05
64,0.6206666666666667,1.5199999999999998e-05
65,0.6186666666666666,1.55e-05
66,0.6213333333333333,1.58e-05
67,0.6283333333333333,1.61e-05
68,0.6306666666666666,1.64e-05
69,0.6326666666666666,1.67e-05
70,0.6343333333333333,1.7033333333333335e-05
71,0.637,1.73e-05
72,0.6403333333333333,1.7666666666666668e-05
73,0.6349999999999999,1.8e-05
74,0.6336666666666666,1.83e-05
75,0.6383333333333333,1.8666666666666665e-05
76,0.636,1.9e-05
77,0.6373333333333333,1.9333333333333337e-05
78,0.6476666666666667,1.9733333333333333e-05
79,0.654,2.0133333333333336e-05
80,0.6493333333333333,2.0433333333333333e-05
81,0.649,2.08e-05
82,0.6496666666666667,2.12e-05
83,0.6523333333333333,2.16e-05
84,0.6589999999999999,2.2000000000000003e-05
85,0.6646666666666667,2.24e-05
86,0.6683333333333333,2.28e-05
87,0.6693333333333333,2.3233333333333333e-05
88,0.6696666666666666,2.3699999999999997e-05
89,0.6649999999999999,2.41e-05
90,0.6713333333333332,2.4566666666666666e-05
91,0.6743333333333332,2.496666666666667e-05
92,0.6763333333333333,2.55e-05
93,0.6789999999999999,2.5899999999999996e-05
94,0.6773333333333333,2.64e-05
95,0.6696666666666666,2.69e-05
96,0.6776666666666668,2.74e-05
97,0.6766666666666667,2.79e-05
98,0.6789999999999999,2.8433333333333334e-05
99,0.686,2.9e-05
100,0.6836666666666668,2.95e-05
101,0.6746666666666666,3.01e-05
102,0.66,3.06e-05
103,0.6533333333333334,3.12e-05
104,0.6486666666666666,3.176666666666667e-05
105,0.6556666666666667,3.24e-05
106,0.6586666666666666,3.293333333333333e-05
107,0.6593333333333333,3.36e-05
108,0.6476666666666667,3.42e-05
109,0.6406666666666667,3.48e-05
110,0.6406666666666666,3.55e-05
111,0.6246666666666667,3.61e-05
112,0.6206666666666667,3.68e-05
113,0.61,3.7466666666666665e-05
114,0.618,3.82e-05
115,0.635,3.89e-05
116,0.65,3.963333333333333e-05
117,0.6759999999999998,4.03e-05
118,0.6943333333333334,4.11e-05
119,0.7093333333333334,4.190000000000001e-05
120,0.7200000000000001,4.26e-05
121,0.7353333333333333,4.343333333333333e-05
122,0.7316666666666666,4.4233333333333336e-05
123,0.727,4.5e-05
124,0.7143333333333333,4.586666666666667e-05
125,0.7116666666666668,4.673333333333333e-05
126,0.7246666666666667,4.76e-05
127,0.7223333333333333,4.8500000000000007e-05
128,0.694,4.933333333333333e-05
129,0.6829999999999999,5.03e-05
130,0.6793333333333332,5.1166666666666666e-05
131,0.6876666666666665,5.21e-05
132,0.7136666666666667,5.310000000000001e-05
133,0.7246666666666667,5.4099999999999994e-05
134,0.7316666666666666,5.5133333333333336e-05
135,0.7320000000000001,5.619999999999999e-05
136,0.731,5.723333333333333e-05
137,0.746,5.83e-05
138,0.7583333333333333,5.9300000000000005e-05
139,0.765,6.04e-05
140,0.7633333333333333,6.15e-05
141,0.765,6.263333333333334e-05
142,0.7643333333333334,6.39e-05
143,0.751,6.506666666666666e-05
