,Sliding Speed,Friction Factor
190,0.000154,0.36950000000000005
191,0.000157,0.3665
192,0.00016,0.357
193,0.000163,0.344
194,0.000166,0.355
195,0.000169,0.36250000000000004
196,0.000172,0.385
197,0.000175,0.383
198,0.000179,0.38249999999999995
199,0.000182,0.37749999999999995
200,0.000185,0.392
201,0.000189,0.3775
202,0.000192,0.351
203,0.000196,0.357
204,0.000199,0.35
205,0.000203,0.344
206,0.000207,0.34950000000000003
207,0.000211,0.34650000000000003
208,0.0002145,0.366
209,0.0002185,0.3755
210,0.0002225,0.384
211,0.000227,0.36450000000000005
212,0.000231,0.365
213,0.000235,0.34550000000000003
214,0.00024,0.369
215,0.000244,0.3705
216,0.000249,0.3695
217,0.000253,0.3505
218,0.000258,0.34299999999999997
219,0.000263,0.34550000000000003
220,0.000267,0.3385
221,0.000272,0.34850000000000003
222,0.000277,0.35550000000000004
223,0.0002825,0.34750000000000003
224,0.000288,0.356
225,0.000293,0.363
226,0.000299,0.36
227,0.000304,0.36
228,0.00031,0.3365
229,0.000315,0.34450000000000003
230,0.000321,0.3725
231,0.000327,0.3875
232,0.000333,0.38849999999999996
233,0.0003395,0.3905
234,0.000346,0.388
235,0.000352,0.3665
236,0.000359,0.358
237,0.0003655,0.36050000000000004
238,0.000372,0.35550000000000004
239,0.000379,0.37749999999999995
240,0.000386,0.381
241,0.000393,0.35750000000000004
242,0.00040050000000000003,0.365
243,0.000408,0.36650000000000005
244,0.00041549999999999996,0.35250000000000004
245,0.000423,0.346
246,0.000431,0.351
247,0.000439,0.3755
248,0.000447,0.363
249,0.000456,0.34099999999999997
250,0.000464,0.3395
251,0.000473,0.3295
252,0.000481,0.3425
253,0.00049,0.346
254,0.000499,0.346
255,0.000509,0.34299999999999997
256,0.000518,0.325
257,0.000528,0.332
258,0.000537,0.34099999999999997
259,0.000547,0.34299999999999997
260,0.000557,0.346
261,0.000568,0.365
262,0.000578,0.35
263,0.000589,0.342
264,0.0006,0.3495
265,0.000611,0.3565
266,0.000622,0.3375
267,0.000634,0.3325
268,0.000646,0.3355
269,0.000658,0.3425
270,0.00067,0.33799999999999997
271,0.000682,0.3245
272,0.000695,0.344
273,0.000708,0.32099999999999995
274,0.000721,0.3235
275,0.000734,0.35
276,0.000748,0.3405
277,0.000762,0.3155
278,0.000776,0.35
279,0.00079,0.3415
280,0.000805,0.349
281,0.00082,0.3385
282,0.000835,0.34950000000000003
283,0.00085,0.336
284,0.000866,0.3205
285,0.0008825,0.32999999999999996
286,0.000899,0.336
287,0.000915,0.3415
288,0.000932,0.34450000000000003
289,0.00095,0.346
290,0.000967,0.336
291,0.000985,0.3285
292,0.001,0.35
293,0.00102,0.34099999999999997
294,0.00104,0.34850000000000003
295,0.00106,0.346
296,0.00108,0.33999999999999997
297,0.0011,0.3385
298,0.00112,0.34850000000000003
299,0.00114,0.33099999999999996
300,0.00116,0.34850000000000003
301,0.00118,0.347
302,0.00121,0.357
303,0.00123,0.3335
304,0.00125,0.365
305,0.00127,0.362
306,0.0013,0.3435
307,0.00132,0.34850000000000003
308,0.00135,0.34099999999999997
309,0.00137,0.37
310,0.0014,0.353
311,0.00142,0.36250000000000004
312,0.00145,0.353
313,0.00148,0.358
314,0.0015,0.3365
315,0.00153,0.3365
316,0.00156,0.331
317,0.00159,0.347
318,0.00162,0.3365
319,0.00165,0.3395
320,0.00168,0.3355
321,0.00171,0.32199999999999995
322,0.00174,0.31999999999999995
323,0.00177,0.3405
324,0.00181,0.34550000000000003
325,0.00184,0.346
326,0.00187,0.3375
327,0.00191,0.3275
328,0.00194,0.3405
329,0.00198,0.3385
330,0.00202,0.324
331,0.00205,0.33499999999999996
332,0.00209,0.3375
333,0.00213,0.344
334,0.00217,0.33499999999999996
335,0.00221,0.3505
336,0.00225,0.347
337,0.00229,0.3535
338,0.00234,0.34450000000000003
339,0.00238,0.353
340,0.00242,0.355
341,0.00247,0.36250000000000004
342,0.00251,0.342
343,0.00256,0.3345
344,0.00261,0.33599999999999997
345,0.00266,0.3365
346,0.00271,0.32899999999999996
347,0.00276,0.3215
348,0.00281,0.34099999999999997
