"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000464","0.0742","0.103","0.977"
"2","0.0000048","0.117","0.16","0.969"
"3","0.00000488","0.138","0.188","0.968"
"4","0.00000498","0.148","0.203","0.969"
"5","0.00000506","0.157","0.216","0.971"
"6","0.00000515","0.166","0.227","0.969"
"7","0.00000526","0.173","0.238","0.976"
"8","0.00000535","0.18","0.248","0.975"
"9","0.00000544","0.186","0.255","0.973"
"10","0.00000555","0.191","0.263","0.973"
"11","0.00000564","0.196","0.269","0.973"
"12","0.00000576","0.198","0.275","0.981"
"13","0.00000586","0.201","0.281","0.989"
"14","0.00000597","0.206","0.288","0.989"
"15","0.00000608","0.213","0.298","0.988"
"16","0.00000619","0.217","0.302","0.986"
"17","0.00000632","0.219","0.305","0.986"
"18","0.00000642","0.22","0.306","0.984"
"19","0.00000655","0.221","0.307","0.984"
"20","0.00000667","0.221","0.307","0.983"
"21","0.00000679","0.22","0.305","0.981"
"22","0.00000692","0.219","0.304","0.981"
"23","0.00000704","0.222","0.307","0.98"
"24","0.00000717","0.223","0.308","0.979"
"25","0.00000731","0.226","0.313","0.979"
"26","0.00000744","0.229","0.317","0.978"
"27","0.00000758","0.229","0.318","0.98"
"28","0.00000772","0.232","0.323","0.985"
"29","0.00000786","0.234","0.327","0.989"
"30","0.00000801","0.235","0.329","0.99"
"31","0.00000816","0.236","0.329","0.988"
"32","0.00000831","0.235","0.329","0.989"
"33","0.00000847","0.236","0.33","0.988"
"34","0.00000861","0.238","0.332","0.987"
"35","0.00000879","0.24","0.335","0.987"
"36","0.00000894","0.241","0.336","0.986"
"37","0.00000912","0.239","0.333","0.986"
"38","0.00000928","0.236","0.329","0.986"
"39","0.00000944","0.233","0.325","0.985"
"40","0.00000962","0.23","0.321","0.985"
"41","0.0000098","0.231","0.322","0.985"
"42","0.00000999","0.23","0.32","0.985"
"43","0.0000102","0.227","0.317","0.985"
"44","0.0000104","0.227","0.316","0.985"
"45","0.0000105","0.225","0.313","0.984"
"46","0.0000107","0.225","0.312","0.984"
"47","0.0000109","0.22","0.306","0.984"
"48","0.0000111","0.215","0.299","0.983"
"49","0.0000114","0.212","0.295","0.982"
"50","0.0000116","0.207","0.288","0.982"
"51","0.0000118","0.202","0.28","0.981"
"52","0.000012","0.2","0.277","0.981"
"53","0.0000122","0.201","0.279","0.981"
"54","0.0000124","0.202","0.28","0.98"
"55","0.0000127","0.203","0.281","0.98"
"56","0.0000129","0.2","0.278","0.979"
"57","0.0000132","0.196","0.272","0.979"
"58","0.0000134","0.193","0.269","0.984"
"59","0.0000136","0.191","0.266","0.985"
"60","0.0000139","0.187","0.26","0.984"
"61","0.0000142","0.185","0.258","0.984"
"62","0.0000144","0.184","0.257","0.984"
"63","0.0000147","0.18","0.25","0.985"
"64","0.000015","0.18","0.25","0.984"
"65","0.0000152","0.179","0.249","0.984"
"66","0.0000155","0.179","0.25","0.985"
"67","0.0000158","0.178","0.247","0.985"
"68","0.0000161","0.173","0.241","0.984"
"69","0.0000164","0.17","0.236","0.985"
"70","0.0000167","0.173","0.241","0.985"
