"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"303","0.00121","0.122","0.162","0.941"
"304","0.00123","0.124","0.164","0.94"
"305","0.00125","0.126","0.17","0.953"
"306","0.00127","0.129","0.173","0.945"
"307","0.0013","0.134","0.179","0.945"
"308","0.00132","0.133","0.181","0.96"
"309","0.00135","0.153","0.215","0.993"
"310","0.00137","0.158","0.227","1.02"
"311","0.0014","0.158","0.23","1.03"
"312","0.00142","0.152","0.228","1.06"
"313","0.00145","0.132","0.204","1.1"
"314","0.00148","0.126","0.196","1.1"
"315","0.0015","0.116","0.172","1.05"
"316","0.00153","0.105","0.149","1"
"317","0.00156","0.12","0.162","0.955"
"318","0.00159","0.126","0.17","0.953"
"319","0.00162","0.122","0.161","0.935"
"320","0.00165","0.123","0.16","0.92"
"321","0.00168","0.14","0.186","0.937"
"322","0.00171","0.126","0.178","1.01"
"323","0.00174","0.13","0.193","1.05"
"324","0.00177","0.13","0.201","1.1"
"325","0.00181","0.128","0.203","1.12"
"326","0.00184","0.125","0.182","1.03"
"327","0.00187","0.118","0.157","0.944"
"328","0.00191","0.124","0.16","0.915"
"329","0.00194","0.123","0.161","0.929"
"330","0.00198","0.126","0.168","0.942"
"331","0.00202","0.141","0.196","0.983"
"332","0.00205","0.152","0.225","1.05"
"333","0.00209","0.151","0.229","1.08"
"334","0.00213","0.151","0.242","1.13"
"335","0.00217","0.144","0.229","1.12"
"336","0.00221","0.138","0.203","1.04"
"337","0.00225","0.121","0.166","0.969"
"338","0.00229","0.134","0.179","0.946"
"339","0.00234","0.134","0.177","0.935"
"340","0.00238","0.148","0.207","0.988"
"341","0.00242","0.158","0.228","1.02"
"342","0.00247","0.136","0.209","1.08"
"343","0.00251","0.127","0.198","1.1"
"344","0.00256","0.107","0.155","1.02"
"345","0.00261","0.123","0.164","0.946"
"346","0.00266","0.116","0.153","0.929"
"347","0.00271","0.132","0.173","0.931"
"348","0.00276","0.117","0.171","1.03"
"349","0.00281","0.135","0.21","1.1"
"350","0.00286","0.132","0.206","1.11"
"351","0.00291","0.119","0.163","0.969"
"352","0.00297","0.122","0.158","0.914"
"353","0.00302","0.125","0.162","0.912"
"354","0.00308","0.15","0.211","0.994"
"355","0.00313","0.145","0.22","1.08"
"356","0.00319","0.145","0.23","1.13"
"357","0.00325","0.136","0.193","1.01"
"358","0.00331","0.125","0.169","0.95"
"359","0.00337","0.133","0.171","0.91"
"360","0.00344","0.153","0.216","1"
"361","0.0035","0.138","0.21","1.07"
"362","0.00356","0.115","0.177","1.08"
"363","0.00363","0.12","0.163","0.964"
"364","0.0037","0.116","0.152","0.923"
"365","0.00377","0.133","0.184","0.981"
"366","0.00384","0.137","0.211","1.09"
"367","0.00391","0.125","0.19","1.08"
"368","0.00398","0.121","0.157","0.92"
"369","0.00405","0.126","0.16","0.901"
"370","0.00413","0.159","0.228","1.02"
"371","0.0042","0.143","0.23","1.13"
"372","0.00428","0.133","0.193","1.02"
"373","0.00436","0.126","0.17","0.949"
"374","0.00444","0.143","0.199","0.98"
"375","0.00452","0.138","0.208","1.07"
"376","0.00461","0.108","0.162","1.06"
"377","0.00469","0.118","0.155","0.931"
"378","0.00478","0.134","0.177","0.938"
"379","0.00487","0.134","0.207","1.09"
"380","0.00496","0.117","0.168","1.02"
"381","0.00505","0.124","0.156","0.888"
"382","0.00515","0.149","0.207","0.978"
"383","0.00524","0.14","0.223","1.13"
"384","0.00534","0.123","0.175","1"
"385","0.00544","0.129","0.17","0.934"
"386","0.00554","0.147","0.214","1.03"
"387","0.00564","0.108","0.164","1.07"
"388","0.00575","0.112","0.149","0.941"
"389","0.00585","0.119","0.171","1.02"
"390","0.00596","0.123","0.192","1.11"
"391","0.00607","0.12","0.153","0.904"
"392","0.00618","0.148","0.206","0.985"
"393","0.0063","0.132","0.21","1.12"
"394","0.00641","0.121","0.166","0.967"
"395","0.00653","0.146","0.203","0.984"
"396","0.00666","0.112","0.173","1.1"
"397","0.00678","0.112","0.149","0.94"
"398","0.0069","0.118","0.175","1.05"
"399","0.00703","0.112","0.159","1"
"400","0.00716","0.126","0.16","0.9"
"401","0.0073","0.133","0.209","1.11"
"402","0.00743","0.119","0.163","0.974"
"403","0.00757","0.142","0.199","0.995"
"404","0.00771","0.106","0.161","1.08"
"405","0.00785","0.117","0.154","0.933"
"406","0.008","0.124","0.196","1.12"
"407","0.00815","0.116","0.146","0.888"
"408","0.0083","0.133","0.198","1.06"
"409","0.00845","0.118","0.167","1"
"410","0.00861","0.138","0.196","1"
"411","0.00877","0.105","0.155","1.04"
"412","0.00893","0.117","0.164","0.995"
"413","0.00909","0.11","0.159","1.02"
"414","0.00926","0.134","0.179","0.95"
"415","0.00943","0.121","0.182","1.07"
"416","0.00961","0.131","0.179","0.962"
"417","0.00979","0.104","0.154","1.05"
"418","0.00997","0.116","0.162","0.988"
"419","0.0102","0.107","0.146","0.968"
"420","0.0103","0.129","0.187","1.02"
"421","0.0105","0.114","0.157","0.974"
"422","0.0107","0.121","0.182","1.07"
"423","0.0109","0.108","0.143","0.931"
"424","0.0111","0.111","0.17","1.09"
"425","0.0113","0.128","0.174","0.963"
"426","0.0115","0.114","0.163","1.01"
"427","0.0118","0.119","0.181","1.07"
"428","0.012","0.109","0.143","0.934"
"429","0.0122","0.105","0.15","1.01"
"430","0.0124","0.124","0.188","1.07"
"431","0.0127","0.118","0.161","0.96"
"432","0.0129","0.102","0.148","1.03"
"433","0.0131","0.112","0.172","1.09"
"434","0.0134","0.121","0.158","0.92"
"435","0.0136","0.111","0.151","0.962"
"436","0.0139","0.101","0.152","1.06"
"437","0.0141","0.109","0.16","1.03"
"438","0.0144","0.118","0.149","0.894"
"439","0.0147","0.111","0.15","0.957"
"440","0.0149","0.0998","0.148","1.05"
"441","0.0152","0.107","0.163","1.07"
"442","0.0155","0.118","0.164","0.981"
"443","0.0158","0.117","0.155","0.938"
"444","0.0161","0.103","0.136","0.936"
"445","0.0164","0.0986","0.128","0.922"
"446","0.0167","0.109","0.157","1.02"
"447","0.017","0.0987","0.146","1.04"
"448","0.0173","0.104","0.156","1.06"
"449","0.0176","0.113","0.169","1.06"
"450","0.0179","0.11","0.162","1.04"
"451","0.0183","0.103","0.154","1.06"
"452","0.0186","0.113","0.166","1.04"
"453","0.019","0.11","0.16","1.03"
"454","0.0193","0.102","0.151","1.05"
"455","0.0197","0.111","0.166","1.06"
