"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"129","0.3333","0.4664","0.00004935","0.9895"
"130","0.333","0.4657","0.00005025","0.9887"
"131","0.3327","0.4653","0.00005121","0.9887"
"132","0.3335","0.4666","0.00005215","0.9894"
"133","0.333","0.4655","0.00005311","0.9884"
"134","0.3326","0.4647","0.0000541","0.988"
"135","0.3328","0.4645","0.00005511","0.9869"
"136","0.3335","0.4653","0.00005613","0.9867"
"137","0.3333","0.4649","0.00005717","0.9864"
"138","0.3324","0.4634","0.00005823","0.9858"
"139","0.3311","0.4613","0.00005931","0.9851"
"140","0.331","0.4613","0.00006042","0.9853"
"141","0.3319","0.4621","0.00006152","0.9845"
"142","0.3337","0.4643","0.00006266","0.9838"
"143","0.3337","0.464","0.00006384","0.9833"
"144","0.3329","0.4627","0.000065","0.983"
"145","0.3347","0.4652","0.00006622","0.9828"
"146","0.3337","0.4636","0.00006746","0.9823"
"147","0.332","0.4617","0.0000687","0.9835"
"148","0.3332","0.4632","0.00006995","0.983"
"149","0.3338","0.4651","0.00007126","0.9853"
"150","0.334","0.4653","0.00007259","0.985"
"151","0.3312","0.4631","0.00007394","0.9888"
"152","0.33","0.4628","0.00007529","0.9915"
"153","0.3285","0.4602","0.00007669","0.9907"
"154","0.3279","0.459","0.00007811","0.99"
"155","0.3271","0.4572","0.00007954","0.9885"
"156","0.3259","0.4555","0.00008106","0.9884"
"157","0.3243","0.4529","0.00008255","0.9876"
"158","0.3228","0.4508","0.00008407","0.9874"
"159","0.322","0.4495","0.00008562","0.9872"
"160","0.3218","0.4488","0.00008723","0.9864"
"161","0.3208","0.4475","0.00008884","0.9865"
"162","0.3214","0.4483","0.00009048","0.9862"
"163","0.3215","0.4485","0.00009215","0.9864"
"164","0.3216","0.4481","0.00009387","0.9853"
"165","0.3226","0.4494","0.0000956","0.9851"
"166","0.321","0.4468","0.00009736","0.9843"
"167","0.3196","0.4449","0.00009917","0.9841"
"168","0.3211","0.4465","0.000101","0.9834"
"169","0.3219","0.4479","0.0001029","0.9838"
"170","0.3214","0.4479","0.0001048","0.9854"
"171","0.3208","0.4474","0.0001068","0.9861"
"172","0.3208","0.448","0.0001087","0.9875"
"173","0.3209","0.4479","0.0001107","0.987"
"174","0.3209","0.4516","0.0001128","0.9951"
"175","0.3199","0.4502","0.0001149","0.9951"
"176","0.3214","0.4521","0.000117","0.9946"
"177","0.3214","0.452","0.0001192","0.9945"
"178","0.3226","0.4541","0.0001214","0.9953"
"179","0.3239","0.4553","0.0001236","0.9942"
"180","0.3239","0.4558","0.0001259","0.995"
"181","0.3242","0.4571","0.0001283","0.9968"
"182","0.3254","0.4588","0.0001307","0.9969"
"183","0.3279","0.4623","0.0001331","0.9971"
"184","0.3283","0.4632","0.0001355","0.9976"
"185","0.3303","0.467","0.0001381","0.9997"
"186","0.3326","0.4705","0.0001406","1"
"187","0.3322","0.4708","0.0001432","1.002"
"188","0.3319","0.4705","0.0001458","1.002"
"189","0.3344","0.4747","0.0001486","1.004"
"190","0.335","0.4762","0.0001513","1.005"
"191","0.3349","0.4767","0.0001541","1.006"
"192","0.3338","0.4761","0.000157","1.009"
"193","0.3314","0.4733","0.0001599","1.01"
"194","0.3321","0.4754","0.0001629","1.012"
"195","0.3336","0.4784","0.0001659","1.014"
"196","0.3342","0.4798","0.000169","1.015"
"197","0.3354","0.4818","0.0001721","1.016"
"198","0.3347","0.482","0.0001753","1.018"
"199","0.3357","0.4845","0.0001785","1.02"
"200","0.3367","0.4871","0.0001818","1.023"
"201","0.3407","0.4937","0.0001852","1.025"
"202","0.3438","0.4983","0.0001886","1.025"
"203","0.347","0.5007","0.0001921","1.02"
"204","0.3485","0.504","0.0001957","1.023"
"205","0.3514","0.509","0.0001993","1.024"
"206","0.3549","0.5132","0.000203","1.023"
"207","0.355","0.514","0.0002068","1.024"
"208","0.3575","0.5155","0.0002106","1.02"
"209","0.3567","0.5162","0.0002145","1.023"
"210","0.357","0.5183","0.0002185","1.027"
"211","0.358","0.52","0.0002225","1.027"
"212","0.3569","0.5185","0.0002267","1.027"
"213","0.3548","0.5169","0.0002309","1.03"
"214","0.355","0.518","0.0002352","1.032"
"215","0.3555","0.5165","0.0002395","1.027"
"216","0.3568","0.5187","0.000244","1.028"
"217","0.3571","0.5179","0.0002485","1.026"
"218","0.3571","0.5179","0.0002531","1.026"
"219","0.3547","0.5165","0.0002578","1.03"
"220","0.356","0.519","0.0002626","1.031"
"221","0.3569","0.517","0.0002674","1.024"
"222","0.3541","0.5138","0.0002724","1.026"
"223","0.3543","0.5137","0.0002774","1.025"
"224","0.3533","0.5121","0.0002826","1.025"
"225","0.3563","0.5155","0.0002878","1.023"
"226","0.3574","0.5151","0.0002931","1.019"
"227","0.3585","0.5149","0.0002986","1.016"
"228","0.3566","0.5109","0.0003041","1.013"
"229","0.355","0.507","0.0003097","1.01"
"230","0.3536","0.5031","0.0003155","1.006"
"231","0.3504","0.4965","0.0003214","1.002"
"232","0.3499","0.4938","0.0003273","0.9979"
"233","0.3499","0.492","0.0003334","0.9943"
"234","0.3516","0.4923","0.0003395","0.9901"
"235","0.3514","0.4899","0.0003458","0.9858"
"236","0.3519","0.4893","0.0003522","0.9832"
"237","0.3528","0.4886","0.0003588","0.9793"
"238","0.3544","0.4885","0.0003654","0.9748"
"239","0.3554","0.4881","0.0003722","0.971"
"240","0.3581","0.4899","0.0003791","0.9674"
"241","0.3605","0.4958","0.0003861","0.9726"
"242","0.3636","0.499","0.0003933","0.9705"
"243","0.366","0.5009","0.0004006","0.9678"
"244","0.3643","0.4972","0.000408","0.965"
"245","0.3634","0.4966","0.0004155","0.9662"
"246","0.364","0.4997","0.0004233","0.9707"
"247","0.363","0.4998","0.0004311","0.9736"
"248","0.3619","0.4987","0.0004391","0.9744"
"249","0.3578","0.4937","0.0004472","0.9757"
"250","0.358","0.4964","0.0004556","0.9804"
"251","0.3609","0.5015","0.000464","0.9826"
"252","0.362","0.5053","0.0004725","0.987"
"253","0.3638","0.5094","0.0004813","0.9901"
"254","0.3647","0.5129","0.0004903","0.9946"
"255","0.3656","0.5184","0.0004993","1.002"
"256","0.3627","0.5188","0.0005086","1.011"
"257","0.3612","0.5214","0.0005181","1.021"
"258","0.361","0.5259","0.0005277","1.03"
"259","0.3621","0.5299","0.0005374","1.035"
"260","0.3624","0.5319","0.0005474","1.038"
"261","0.3637","0.5331","0.0005575","1.037"
"262","0.3651","0.5332","0.0005679","1.033"
"263","0.3647","0.5332","0.0005784","1.034"
"264","0.3613","0.5311","0.0005891","1.039"
"265","0.3641","0.5355","0.0006","1.04"
"266","0.3654","0.5356","0.0006112","1.036"
"267","0.3684","0.5376","0.0006225","1.032"
"268","0.3681","0.5328","0.000634","1.023"
"269","0.3679","0.5283","0.0006458","1.015"
"270","0.3626","0.5161","0.0006578","1.006"
"271","0.3542","0.4993","0.0006699","0.9967"
"272","0.3561","0.4971","0.0006824","0.987"
"273","0.3557","0.4916","0.000695","0.9774"
"274","0.3548","0.4851","0.0007079","0.9667"
"275","0.3561","0.4837","0.000721","0.9605"
"276","0.3593","0.4906","0.0007343","0.9655"
"277","0.361","0.4948","0.000748","0.9693"
"278","0.3571","0.4907","0.0007619","0.9716"
"279","0.3507","0.4812","0.000776","0.9702"
"280","0.3465","0.475","0.0007904","0.9695"
"281","0.3505","0.4798","0.000805","0.9678"
"282","0.3533","0.4851","0.00082","0.9709"
"283","0.3561","0.4943","0.0008352","0.9814"
"284","0.3552","0.4969","0.0008507","0.9891"
"285","0.3576","0.5038","0.0008664","0.9962"
"286","0.3587","0.5101","0.0008825","1.005"
"287","0.3621","0.5201","0.0008988","1.015"
"288","0.3617","0.5256","0.0009155","1.028"
"289","0.3575","0.5247","0.0009324","1.038"
"290","0.3544","0.5226","0.0009497","1.043"
"291","0.3583","0.5211","0.0009673","1.029"
"292","0.3548","0.511","0.0009853","1.019"
"293","0.3487","0.4966","0.001004","1.007"
"294","0.3416","0.478","0.001022","0.9893"
"295","0.3411","0.4701","0.001041","0.9746"
