"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000471","0.0677","0.0942","0.984"
"2","0.0000048","0.104","0.143","0.974"
"3","0.00000487","0.114","0.156","0.968"
"4","0.00000496","0.122","0.167","0.965"
"5","0.00000507","0.129","0.177","0.97"
"6","0.00000516","0.134","0.185","0.975"
"7","0.00000525","0.139","0.192","0.973"
"8","0.00000535","0.144","0.198","0.971"
"9","0.00000547","0.149","0.204","0.968"
"10","0.00000555","0.153","0.211","0.974"
"11","0.00000565","0.159","0.218","0.973"
"12","0.00000576","0.165","0.226","0.972"
"13","0.00000586","0.168","0.232","0.973"
"14","0.00000598","0.171","0.237","0.976"
"15","0.00000608","0.173","0.24","0.981"
"16","0.0000062","0.174","0.241","0.979"
"17","0.00000632","0.173","0.24","0.983"
"18","0.00000642","0.171","0.241","0.995"
"19","0.00000654","0.171","0.24","0.995"
"20","0.00000667","0.166","0.234","0.994"
"21","0.00000679","0.164","0.23","0.994"
"22","0.00000691","0.161","0.226","0.993"
"23","0.00000704","0.157","0.221","0.993"
"24","0.00000718","0.157","0.22","0.992"
"25","0.00000731","0.157","0.22","0.993"
"26","0.00000744","0.156","0.22","0.992"
"27","0.00000758","0.157","0.22","0.992"
"28","0.00000772","0.158","0.222","0.992"
"29","0.00000786","0.16","0.224","0.992"
"30","0.00000801","0.158","0.221","0.992"
"31","0.00000816","0.155","0.217","0.992"
"32","0.00000831","0.151","0.212","0.991"
"33","0.00000846","0.148","0.207","0.992"
"34","0.00000862","0.145","0.203","0.992"
"35","0.00000879","0.142","0.199","0.992"
"36","0.00000895","0.141","0.198","0.992"
"37","0.00000911","0.141","0.198","0.992"
"38","0.00000928","0.142","0.199","0.992"
"39","0.00000946","0.141","0.198","0.992"
"40","0.00000963","0.143","0.2","0.992"
"41","0.00000979","0.146","0.204","0.992"
"42","0.00000999","0.147","0.207","0.992"
"43","0.0000102","0.149","0.209","0.992"
"44","0.0000104","0.147","0.206","0.992"
"45","0.0000105","0.145","0.203","0.993"
"46","0.0000107","0.143","0.2","0.992"
"47","0.0000109","0.14","0.196","0.993"
"48","0.0000111","0.137","0.193","0.993"
