"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.0000047","0.0944","0.131","0.982"
"2","0.0000048","0.0969","0.133","0.973"
"3","0.00000487","0.1","0.137","0.967"
"4","0.00000497","0.0988","0.137","0.98"
"5","0.00000506","0.103","0.142","0.976"
"6","0.00000516","0.107","0.147","0.973"
"7","0.00000524","0.11","0.152","0.973"
"8","0.00000536","0.113","0.157","0.98"
"9","0.00000545","0.113","0.157","0.982"
"10","0.00000554","0.118","0.164","0.981"
"11","0.00000565","0.124","0.172","0.981"
"12","0.00000576","0.129","0.179","0.981"
"13","0.00000586","0.132","0.184","0.981"
"14","0.00000597","0.138","0.191","0.98"
"15","0.00000608","0.142","0.197","0.981"
"16","0.0000062","0.145","0.201","0.982"
"17","0.0000063","0.146","0.203","0.981"
"18","0.00000643","0.145","0.201","0.982"
"19","0.00000655","0.147","0.204","0.982"
"20","0.00000667","0.148","0.206","0.983"
"21","0.00000679","0.151","0.21","0.983"
"22","0.00000692","0.152","0.212","0.984"
"23","0.00000705","0.15","0.209","0.985"
"24","0.00000716","0.153","0.213","0.985"
"25","0.00000731","0.154","0.214","0.986"
"26","0.00000744","0.154","0.214","0.987"
"27","0.00000758","0.154","0.215","0.987"
"28","0.00000772","0.154","0.216","0.988"
"29","0.00000787","0.155","0.217","0.988"
"30","0.00000801","0.156","0.219","0.988"
"31","0.00000815","0.156","0.218","0.988"
"32","0.00000832","0.157","0.219","0.988"
"33","0.00000846","0.155","0.217","0.988"
"34","0.00000862","0.155","0.217","0.988"
"35","0.00000879","0.155","0.216","0.988"
"36","0.00000895","0.155","0.217","0.988"
"37","0.00000911","0.156","0.217","0.988"
"38","0.00000928","0.156","0.218","0.988"
"39","0.00000946","0.154","0.216","0.989"
"40","0.00000962","0.153","0.214","0.989"
"41","0.0000098","0.153","0.214","0.989"
"42","0.00001","0.152","0.213","0.99"
"43","0.0000102","0.151","0.212","0.99"
"44","0.0000103","0.153","0.214","0.991"
"45","0.0000106","0.156","0.219","0.993"
"46","0.0000108","0.157","0.221","0.994"
"47","0.0000109","0.159","0.224","0.995"
"48","0.0000112","0.161","0.227","0.997"
"49","0.0000114","0.161","0.227","0.998"
"50","0.0000116","0.163","0.23","0.999"
"51","0.0000118","0.164","0.232","0.999"
"52","0.000012","0.163","0.231","1"
"53","0.0000122","0.163","0.23","1"
"54","0.0000124","0.161","0.228","0.999"
"55","0.0000127","0.162","0.229","0.999"
"56","0.0000129","0.159","0.225","0.999"
"57","0.0000131","0.159","0.224","0.997"
"58","0.0000134","0.156","0.22","0.998"
"59","0.0000137","0.152","0.214","0.996"
"60","0.0000139","0.148","0.207","0.993"
"61","0.0000142","0.145","0.203","0.992"
"62","0.0000144","0.141","0.197","0.989"
"63","0.0000147","0.132","0.184","0.985"
"64","0.0000149","0.128","0.177","0.982"
"65","0.0000152","0.123","0.171","0.979"
"66","0.0000155","0.118","0.162","0.975"
"67","0.0000158","0.115","0.158","0.972"
"68","0.0000161","0.112","0.154","0.97"
"69","0.0000164","0.105","0.145","0.972"
"70","0.0000167","0.101","0.139","0.976"
"71","0.000017","0.0975","0.135","0.976"
"72","0.0000173","0.0948","0.131","0.977"
"73","0.0000176","0.0936","0.129","0.978"
"74","0.000018","0.0926","0.128","0.979"
"75","0.0000183","0.0914","0.127","0.979"
"76","0.0000186","0.0906","0.125","0.979"
"77","0.000019","0.0898","0.124","0.979"
"78","0.0000193","0.0892","0.123","0.978"
"79","0.0000197","0.0889","0.123","0.982"
"80","0.0000201","0.089","0.124","0.983"
"81","0.0000204","0.0889","0.124","0.983"
"82","0.0000208","0.0881","0.123","0.985"
"83","0.0000212","0.0878","0.123","0.987"
"84","0.0000216","0.0876","0.122","0.988"
"85","0.000022","0.0881","0.123","0.988"
"86","0.0000224","0.0883","0.124","0.99"
"87","0.0000228","0.0878","0.123","0.991"
"88","0.0000232","0.0873","0.122","0.992"
"89","0.0000237","0.0871","0.122","0.993"
"90","0.0000241","0.0868","0.122","0.993"
"91","0.0000246","0.0871","0.122","0.994"
"92","0.000025","0.0861","0.121","0.995"
"93","0.0000255","0.0865","0.122","0.995"
"94","0.0000259","0.0851","0.12","0.997"
"95","0.0000264","0.0849","0.12","0.998"
"96","0.0000269","0.0842","0.119","0.999"
"97","0.0000274","0.0843","0.119","1"
"98","0.0000279","0.0847","0.12","1"
"99","0.0000285","0.0854","0.121","1"
"100","0.000029","0.0849","0.121","1"
"101","0.0000295","0.0843","0.12","1"
"102","0.0000301","0.0841","0.12","1.01"
"103","0.0000306","0.0842","0.12","1.01"
"104","0.0000312","0.0844","0.12","1.01"
"105","0.0000318","0.0854","0.122","1.01"
"106","0.0000323","0.0855","0.123","1.01"
"107","0.000033","0.0869","0.124","1.01"
"108","0.0000336","0.0875","0.125","1.01"
"109","0.0000342","0.0877","0.126","1.01"
"110","0.0000348","0.0875","0.125","1.01"
"111","0.0000355","0.0875","0.125","1.01"
"112","0.0000361","0.0872","0.125","1.01"
"113","0.0000368","0.0876","0.125","1.01"
"114","0.0000375","0.0883","0.126","1.01"
"115","0.0000382","0.0887","0.127","1.01"
"116","0.0000389","0.088","0.126","1.02"
"117","0.0000396","0.0881","0.127","1.02"
"118","0.0000403","0.0881","0.127","1.02"
"119","0.0000411","0.0871","0.125","1.02"
"120","0.0000418","0.0864","0.124","1.02"
"121","0.0000426","0.0859","0.124","1.02"
"122","0.0000434","0.0855","0.123","1.02"
"123","0.0000442","0.084","0.121","1.02"
"124","0.000045","0.0838","0.121","1.02"
"125","0.0000459","0.0828","0.12","1.02"
"126","0.0000467","0.082","0.119","1.02"
"127","0.0000476","0.081","0.117","1.02"
"128","0.0000484","0.0808","0.117","1.02"
"129","0.0000494","0.0813","0.118","1.02"
"130","0.0000503","0.0814","0.118","1.03"
"131","0.0000512","0.0814","0.118","1.03"
"132","0.0000521","0.0813","0.118","1.03"
"133","0.0000531","0.0822","0.119","1.03"
"134","0.0000541","0.0823","0.119","1.02"
"135","0.0000551","0.083","0.12","1.02"
"136","0.0000561","0.0826","0.119","1.02"
"137","0.0000572","0.0826","0.118","1.01"
"138","0.0000582","0.0834","0.12","1.01"
"139","0.0000593","0.0843","0.121","1.02"
"140","0.0000604","0.0852","0.122","1.02"
"141","0.0000615","0.0859","0.124","1.02"
"142","0.0000627","0.0873","0.126","1.02"
"143","0.0000638","0.0887","0.128","1.02"
"144","0.000065","0.0898","0.13","1.02"
"145","0.0000662","0.0912","0.132","1.02"
"146","0.0000674","0.0917","0.133","1.03"
"147","0.0000687","0.0912","0.132","1.02"
"148","0.00007","0.0902","0.13","1.02"
"149","0.0000713","0.0881","0.127","1.02"
"150","0.0000726","0.0863","0.124","1.02"
"151","0.0000739","0.0849","0.122","1.02"
"152","0.0000753","0.0832","0.12","1.02"
"153","0.0000767","0.0808","0.117","1.02"
"154","0.0000781","0.0804","0.116","1.02"
"155","0.0000796","0.0818","0.118","1.02"
"156","0.0000811","0.081","0.117","1.02"
"157","0.0000825","0.0811","0.118","1.03"
"158","0.0000841","0.0817","0.119","1.03"
"159","0.0000856","0.0835","0.122","1.03"
"160","0.0000873","0.0843","0.123","1.03"
"161","0.0000888","0.0851","0.124","1.03"
"162","0.0000905","0.0857","0.124","1.02"
"163","0.0000921","0.085","0.123","1.02"
"164","0.0000939","0.0844","0.123","1.03"
"165","0.0000956","0.0834","0.122","1.03"
"166","0.0000974","0.0806","0.117","1.03"
"167","0.0000992","0.0796","0.115","1.03"
"168","0.000101","0.0801","0.116","1.02"
"169","0.000103","0.0797","0.115","1.02"
"170","0.000105","0.0785","0.113","1.02"
"171","0.000107","0.0777","0.112","1.02"
"172","0.000109","0.0773","0.111","1.02"
"173","0.000111","0.0778","0.112","1.02"
"174","0.000113","0.0762","0.11","1.02"
"175","0.000115","0.077","0.111","1.02"
"176","0.000117","0.0783","0.112","1.01"
"177","0.000119","0.0741","0.106","1.01"
"178","0.000121","0.0747","0.106","1"
"179","0.000124","0.075","0.106","0.997"
"180","0.000126","0.0765","0.107","0.993"
"181","0.000128","0.0734","0.103","0.988"
"182","0.000131","0.0721","0.1","0.984"
"183","0.000133","0.0721","0.1","0.982"
"184","0.000136","0.0739","0.102","0.98"
"185","0.000138","0.0745","0.103","0.978"
"186","0.000141","0.0769","0.106","0.976"
"187","0.000143","0.0784","0.108","0.972"
"188","0.000146","0.0816","0.112","0.971"
"189","0.000149","0.0792","0.109","0.972"
"190","0.000151","0.077","0.105","0.969"
"191","0.000154","0.0764","0.104","0.966"
"192","0.000157","0.0766","0.104","0.965"
"193","0.00016","0.0755","0.104","0.97"
"194","0.000163","0.0771","0.106","0.97"
"195","0.000166","0.0731","0.101","0.975"
"196","0.000169","0.0704","0.0968","0.972"
"197","0.000172","0.0681","0.093","0.965"
"198","0.000175","0.0672","0.0916","0.963"
"199","0.000179","0.0704","0.0968","0.972"
