"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000466","0.0992","0.138","0.986"
"2","0.00000479","0.0985","0.137","0.984"
"3","0.00000488","0.101","0.14","0.982"
"4","0.00000496","0.103","0.143","0.98"
"5","0.00000506","0.107","0.148","0.979"
"6","0.00000515","0.111","0.153","0.977"
"7","0.00000526","0.114","0.157","0.976"
"8","0.00000535","0.116","0.16","0.976"
"9","0.00000545","0.117","0.162","0.98"
"10","0.00000555","0.119","0.164","0.979"
"11","0.00000565","0.118","0.164","0.985"
"12","0.00000575","0.119","0.165","0.982"
"13","0.00000586","0.12","0.166","0.979"
"14","0.00000598","0.117","0.164","0.995"
"15","0.00000608","0.115","0.162","0.991"
"16","0.0000062","0.118","0.165","0.989"
"17","0.00000631","0.121","0.169","0.986"
"18","0.00000642","0.124","0.173","0.985"
"19","0.00000654","0.126","0.175","0.984"
"20","0.00000665","0.127","0.176","0.984"
"21","0.00000679","0.127","0.176","0.983"
"22","0.00000691","0.126","0.175","0.984"
"23","0.00000705","0.126","0.175","0.985"
"24","0.00000718","0.123","0.172","0.987"
"25","0.0000073","0.119","0.166","0.989"
"26","0.00000745","0.119","0.167","0.992"
"27","0.00000757","0.12","0.168","0.994"
"28","0.00000771","0.12","0.169","0.995"
"29","0.00000787","0.12","0.169","0.997"
"30","0.00000801","0.12","0.17","0.998"
"31","0.00000816","0.12","0.169","0.998"
"32","0.00000831","0.119","0.169","1"
"33","0.00000847","0.12","0.17","1"
"34","0.00000861","0.12","0.17","1"
"35","0.00000879","0.12","0.17","1"
"36","0.00000894","0.121","0.172","1"
"37","0.00000911","0.122","0.174","1"
"38","0.00000928","0.124","0.176","1"
"39","0.00000945","0.124","0.175","1"
"40","0.00000963","0.123","0.174","1"
"41","0.0000098","0.123","0.174","1"
"42","0.00000998","0.123","0.174","1"
"43","0.0000102","0.123","0.174","1"
"44","0.0000104","0.124","0.176","1.01"
"45","0.0000105","0.125","0.178","1.01"
"46","0.0000107","0.126","0.18","1.01"
"47","0.0000109","0.128","0.182","1.01"
"48","0.0000112","0.128","0.183","1.01"
"49","0.0000113","0.13","0.185","1.01"
"50","0.0000116","0.13","0.186","1.01"
"51","0.0000118","0.129","0.183","1"
"52","0.000012","0.129","0.184","1"
"53","0.0000122","0.128","0.182","1"
"54","0.0000124","0.127","0.181","1"
"55","0.0000127","0.126","0.178","1"
"56","0.0000129","0.126","0.179","1"
"57","0.0000132","0.126","0.179","1"
"58","0.0000134","0.124","0.176","1"
"59","0.0000136","0.123","0.174","0.999"
"60","0.0000139","0.122","0.172","0.997"
"61","0.0000141","0.121","0.17","0.995"
"62","0.0000144","0.12","0.168","0.994"
"63","0.0000147","0.118","0.165","0.992"
"64","0.000015","0.115","0.161","0.992"
"65","0.0000152","0.111","0.155","0.991"
"66","0.0000155","0.108","0.151","0.991"
"67","0.0000158","0.105","0.147","0.992"
"68","0.0000161","0.102","0.142","0.988"
"69","0.0000164","0.0995","0.139","0.985"
"70","0.0000167","0.0962","0.134","0.981"
"71","0.000017","0.0914","0.126","0.978"
"72","0.0000173","0.0878","0.121","0.973"
"73","0.0000176","0.0856","0.117","0.968"
"74","0.000018","0.0834","0.115","0.973"
"75","0.0000183","0.081","0.113","0.985"
"76","0.0000186","0.0815","0.113","0.979"
"77","0.000019","0.0804","0.112","0.982"
"78","0.0000194","0.0799","0.111","0.979"
"79","0.0000197","0.0787","0.109","0.977"
"80","0.0000201","0.0782","0.108","0.976"
"81","0.0000204","0.0779","0.107","0.975"
"82","0.0000208","0.0771","0.106","0.975"
"83","0.0000212","0.0766","0.106","0.974"
"84","0.0000216","0.0756","0.104","0.974"
"85","0.000022","0.0748","0.103","0.976"
"86","0.0000224","0.0745","0.103","0.974"
"87","0.0000228","0.074","0.102","0.973"
"88","0.0000232","0.0737","0.101","0.972"
"89","0.0000237","0.0732","0.101","0.971"
"90","0.0000241","0.0727","0.101","0.981"
"91","0.0000246","0.0731","0.101","0.979"
"92","0.000025","0.0729","0.101","0.977"
"93","0.0000255","0.0734","0.101","0.977"
"94","0.000026","0.0732","0.102","0.981"
"95","0.0000264","0.0745","0.104","0.984"
"96","0.0000269","0.0745","0.104","0.983"
"97","0.0000274","0.0739","0.103","0.982"
"98","0.0000279","0.0735","0.102","0.982"
"99","0.0000284","0.0731","0.101","0.981"
"100","0.000029","0.0727","0.101","0.981"
"101","0.0000295","0.0727","0.101","0.981"
"102","0.00003","0.0722","0.1","0.98"
"103","0.0000306","0.0722","0.0999","0.979"
"104","0.0000312","0.072","0.0995","0.977"
"105","0.0000318","0.0723","0.1","0.978"
"106","0.0000324","0.0719","0.0995","0.979"
"107","0.0000329","0.0728","0.101","0.977"
"108","0.0000335","0.0735","0.101","0.976"
"109","0.0000342","0.0754","0.104","0.975"
"110","0.0000348","0.0766","0.105","0.974"
"111","0.0000354","0.0771","0.106","0.972"
"112","0.0000361","0.0781","0.108","0.975"
"113","0.0000368","0.0789","0.109","0.973"
"114","0.0000375","0.0801","0.111","0.977"
"115","0.0000382","0.0813","0.112","0.977"
"116","0.0000389","0.0822","0.113","0.975"
"117","0.0000396","0.0825","0.114","0.974"
"118","0.0000403","0.0829","0.114","0.973"
"119","0.0000411","0.0834","0.115","0.974"
"120","0.0000418","0.0822","0.113","0.974"
"121","0.0000426","0.0809","0.113","0.984"
"122","0.0000434","0.0817","0.114","0.986"
"123","0.0000442","0.0811","0.113","0.985"
"124","0.000045","0.0816","0.114","0.985"
"125","0.0000458","0.081","0.113","0.985"
"126","0.0000467","0.0814","0.113","0.984"
"127","0.0000476","0.0826","0.115","0.983"
"128","0.0000485","0.084","0.117","0.984"
"129","0.0000494","0.0847","0.118","0.984"
"130","0.0000503","0.0839","0.117","0.983"
"131","0.0000512","0.0833","0.116","0.981"
"132","0.0000521","0.0812","0.113","0.98"
"133","0.0000531","0.0815","0.113","0.978"
"134","0.0000541","0.0817","0.113","0.977"
"135","0.0000551","0.0817","0.113","0.976"
"136","0.0000561","0.0802","0.111","0.979"
"137","0.0000572","0.0807","0.112","0.978"
"138","0.0000582","0.0807","0.112","0.98"
"139","0.0000593","0.0813","0.113","0.986"
"140","0.0000604","0.0814","0.113","0.985"
"141","0.0000615","0.0804","0.112","0.985"
"142","0.0000627","0.0798","0.111","0.983"
"143","0.0000638","0.0798","0.111","0.982"
"144","0.000065","0.0794","0.11","0.98"
"145","0.0000662","0.0784","0.108","0.977"
"146","0.0000675","0.078","0.108","0.975"
"147","0.0000687","0.0788","0.109","0.974"
"148","0.00007","0.0797","0.11","0.977"
"149","0.0000713","0.0818","0.114","0.982"
"150","0.0000726","0.0824","0.114","0.98"
"151","0.0000739","0.0833","0.116","0.984"
"152","0.0000753","0.0814","0.115","0.999"
"153","0.0000767","0.081","0.114","0.998"
"154","0.0000781","0.0802","0.113","0.998"
"155","0.0000796","0.079","0.111","0.997"
"156","0.000081","0.0791","0.112","0.997"
"157","0.0000825","0.0809","0.114","0.997"
"158","0.0000841","0.0823","0.116","0.997"
"159","0.0000856","0.0832","0.117","0.997"
"160","0.0000872","0.0849","0.119","0.993"
"161","0.0000888","0.0858","0.121","0.993"
"162","0.0000905","0.0862","0.121","0.992"
"163","0.0000922","0.0857","0.12","0.99"
"164","0.0000939","0.0856","0.119","0.987"
"165","0.0000956","0.085","0.119","0.986"
"166","0.0000974","0.0839","0.117","0.983"
"167","0.0000992","0.0829","0.115","0.982"
"168","0.000101","0.0819","0.113","0.979"
"169","0.000103","0.0808","0.112","0.98"
"170","0.000105","0.0804","0.112","0.981"
"171","0.000107","0.0815","0.113","0.979"
"172","0.000109","0.0821","0.114","0.979"
"173","0.000111","0.0824","0.114","0.981"
"174","0.000113","0.0831","0.115","0.98"
"175","0.000115","0.0836","0.116","0.981"
"176","0.000117","0.0832","0.116","0.982"
"177","0.000119","0.0822","0.114","0.984"
"178","0.000121","0.0834","0.116","0.988"
"179","0.000124","0.082","0.115","0.99"
"180","0.000126","0.0805","0.113","0.992"
"181","0.000128","0.0835","0.117","0.991"
"182","0.000131","0.0827","0.116","0.989"
"183","0.000133","0.0832","0.116","0.986"
"184","0.000136","0.0853","0.119","0.986"
"185","0.000138","0.0866","0.121","0.988"
"186","0.000141","0.0856","0.12","0.989"
"187","0.000143","0.0826","0.116","0.997"
"188","0.000146","0.0859","0.122","1"
"189","0.000149","0.0857","0.122","1"
"190","0.000151","0.086","0.122","1"
"191","0.000154","0.0838","0.119","1.01"
"192","0.000157","0.0857","0.122","1.01"
"193","0.00016","0.0868","0.124","1.01"
"194","0.000163","0.0878","0.126","1.02"
"195","0.000166","0.0908","0.131","1.02"
"196","0.000169","0.0914","0.133","1.03"
"197","0.000172","0.0928","0.136","1.04"
"198","0.000175","0.0957","0.139","1.03"
"199","0.000179","0.101","0.146","1.03"
"200","0.000182","0.101","0.146","1.02"
"201","0.000185","0.0967","0.139","1.02"
"202","0.000189","0.0911","0.131","1.02"
"203","0.000192","0.0933","0.134","1.02"
"204","0.000196","0.093","0.135","1.03"
