"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"154","0.0000781","0.722","1.04","1.02"
"155","0.0000796","0.728","1.04","1.02"
"156","0.000081","0.679","0.975","1.01"
"157","0.0000826","0.708","1.01","1.01"
"158","0.0000841","0.682","0.977","1.01"
"159","0.0000856","0.661","0.946","1.01"
"160","0.0000872","0.653","0.932","1.01"
"161","0.0000888","0.666","0.949","1.01"
"162","0.0000905","0.675","0.96","1.01"
"163","0.0000921","0.734","1.04","1.01"
"164","0.0000939","0.731","1.04","1"
"165","0.0000956","0.75","1.06","1"
"166","0.0000975","0.755","1.07","1"
"167","0.0000991","0.721","1.02","0.999"
"168","0.000101","0.746","1.05","0.996"
"169","0.000103","0.738","1.04","0.992"
"170","0.000105","0.796","1.12","0.992"
"171","0.000107","0.759","1.06","0.989"
"172","0.000109","0.691","0.963","0.986"
"173","0.000111","0.646","0.897","0.982"
"174","0.000113","0.609","0.845","0.98"
"175","0.000115","0.696","0.962","0.978"
"176","0.000117","0.742","1.03","0.976"
"177","0.000119","0.705","0.969","0.972"
"178","0.000121","0.718","0.986","0.971"
"179","0.000124","0.68","0.933","0.971"
"180","0.000126","0.667","0.912","0.967"
"181","0.000128","0.649","0.886","0.966"
"182","0.000131","0.646","0.883","0.967"
"183","0.000133","0.684","0.942","0.973"
"184","0.000136","0.664","0.914","0.974"
"185","0.000138","0.691","0.955","0.977"
"186","0.000141","0.662","0.91","0.972"
"187","0.000143","0.669","0.915","0.967"
"188","0.000146","0.671","0.917","0.967"
"189","0.000149","0.713","0.979","0.971"
"190","0.000151","0.725","0.995","0.971"
"191","0.000154","0.721","0.987","0.968"
"192","0.000157","0.736","1.01","0.966"
"193","0.00016","0.745","1.02","0.971"
"194","0.000163","0.716","0.988","0.975"
"195","0.000166","0.733","1.01","0.973"
"196","0.000169","0.762","1.05","0.975"
"197","0.000172","0.764","1.06","0.979"
"198","0.000175","0.717","0.992","0.978"
"199","0.000178","0.719","0.992","0.975"
"200","0.000182","0.746","1.03","0.975"
"201","0.000185","0.718","0.988","0.972"
"202","0.000189","0.719","0.987","0.971"
"203","0.000192","0.673","0.928","0.974"
"204","0.000196","0.667","0.918","0.973"
"205","0.000199","0.717","0.988","0.974"
"206","0.000203","0.669","0.917","0.969"
"207","0.000207","0.672","0.919","0.967"
"208","0.000211","0.689","0.948","0.974"
"209","0.000214","0.633","0.87","0.972"
"210","0.000219","0.684","0.94","0.973"
"211","0.000223","0.591","0.809","0.967"
"212","0.000227","0.622","0.849","0.966"
"213","0.000231","0.663","0.912","0.972"
"214","0.000235","0.604","0.831","0.972"
"215","0.000239","0.564","0.77","0.965"
"216","0.000244","0.718","0.992","0.978"
"217","0.000248","0.737","1.02","0.98"
"218","0.000253","0.724","1","0.981"
"219","0.000258","0.664","0.92","0.98"
"220","0.000262","0.651","0.904","0.981"
"221","0.000267","0.683","0.955","0.988"
"222","0.000272","0.696","0.982","0.998"
"223","0.000277","0.734","1.05","1.01"
"224","0.000282","0.671","0.962","1.01"
"225","0.000288","0.727","1.06","1.03"
"226","0.000293","0.733","1.08","1.04"
"227","0.000299","0.689","1.01","1.04"
"228","0.000304","0.651","0.96","1.04"
"229","0.00031","0.636","0.929","1.03"
"230","0.000316","0.676","0.99","1.04"
"231","0.000321","0.709","1.04","1.04"
"232","0.000327","0.713","1.04","1.04"
"233","0.000333","0.695","1.02","1.04"
"234","0.00034","0.713","1.04","1.04"
"235","0.000346","0.652","0.964","1.05"
"236","0.000352","0.663","0.972","1.04"
"237","0.000359","0.716","1.04","1.03"
"238","0.000365","0.697","1.03","1.05"
"239","0.000372","0.648","0.956","1.04"
"240","0.000379","0.651","0.962","1.05"
"241","0.000386","0.7","1.03","1.04"
"242","0.000394","0.717","1.05","1.04"
"243","0.0004","0.683","0.991","1.03"
"244","0.000408","0.61","0.88","1.02"
"245","0.000415","0.677","0.975","1.02"
"246","0.000423","0.703","1","1.01"
"247","0.000431","0.65","0.915","0.996"
"248","0.000439","0.598","0.835","0.987"
"249","0.000447","0.645","0.883","0.969"
"250","0.000456","0.631","0.867","0.971"
"251","0.000464","0.637","0.847","0.941"
"252","0.000472","0.614","0.824","0.948"
"253","0.000481","0.623","0.827","0.939"
"254","0.000491","0.662","0.899","0.961"
"255","0.0005","0.62","0.882","1.01"
"256","0.000509","0.636","0.87","0.968"
"257","0.000518","0.641","0.854","0.943"
"258","0.000528","0.625","0.858","0.97"
"259","0.000537","0.574","0.824","1.01"
"260","0.000548","0.659","0.889","0.954"
"261","0.000557","0.58","0.826","1.01"
"262","0.000568","0.685","0.92","0.949"
"263","0.000578","0.676","0.906","0.947"
"264","0.000589","0.676","0.924","0.966"
"265","0.0006","0.639","0.879","0.972"
"266","0.000611","0.723","1.01","0.983"
"267","0.000623","0.663","0.934","0.996"
"268","0.000634","0.686","0.988","1.02"
"269","0.000646","0.642","0.945","1.04"
"270","0.000658","0.678","0.995","1.04"
"271","0.00067","0.7","1.03","1.04"
"272","0.000682","0.625","0.919","1.04"
"273","0.000695","0.662","0.983","1.05"
"274","0.000708","0.703","1.06","1.06"
"275","0.000721","0.626","0.93","1.05"
"276","0.000735","0.671","0.996","1.05"
"277","0.000748","0.599","0.881","1.04"
"278","0.000762","0.628","0.913","1.03"
"279","0.000776","0.61","0.872","1.01"
"280","0.00079","0.563","0.788","0.99"
"281","0.000805","0.514","0.718","0.987"
"282","0.00082","0.633","0.839","0.938"
"283","0.000835","0.582","0.771","0.936"
"284","0.000851","0.574","0.773","0.952"
"285","0.000866","0.672","0.91","0.958"
"286","0.000882","0.634","0.86","0.96"
"287","0.000899","0.586","0.799","0.964"
"288","0.000916","0.638","0.862","0.956"
"289","0.000932","0.671","0.916","0.965"
"290","0.00095","0.624","0.859","0.973"
"291","0.000967","0.631","0.894","1"
"292","0.000985","0.66","0.966","1.04"
"293","0.001","0.621","0.921","1.05"
"294","0.00102","0.66","0.982","1.05"
"295","0.00104","0.729","1.08","1.05"
"296","0.00106","0.59","0.883","1.06"
"297","0.00108","0.68","1.02","1.06"
"298","0.0011","0.617","0.912","1.04"
"299","0.00112","0.555","0.801","1.02"
"300","0.00114","0.614","0.863","0.994"
"301","0.00116","0.515","0.695","0.954"
"302","0.00118","0.564","0.755","0.947"
"303","0.00121","0.617","0.848","0.971"
"304","0.00123","0.593","0.81","0.966"
"305","0.00125","0.513","0.692","0.954"
"306","0.00127","0.512","0.679","0.937"
"307","0.0013","0.546","0.754","0.977"
"308","0.00132","0.611","0.884","1.02"
"309","0.00135","0.531","0.787","1.05"
"310","0.00137","0.614","0.917","1.06"
"311","0.0014","0.596","0.899","1.07"
"312","0.00142","0.631","0.969","1.09"
"313","0.00145","0.576","0.856","1.05"
"314","0.00148","0.569","0.803","0.999"
"315","0.0015","0.499","0.687","0.972"
"316","0.00153","0.54","0.748","0.98"
"317","0.00156","0.582","0.771","0.937"
"318","0.00159","0.481","0.64","0.939"
"319","0.00162","0.563","0.707","0.888"
"320","0.00165","0.608","0.815","0.948"
"321","0.00168","0.561","0.773","0.975"
"322","0.00171","0.513","0.733","1.01"
"323","0.00174","0.588","0.883","1.06"
"324","0.00177","0.578","0.884","1.08"
"325","0.00181","0.567","0.833","1.04"
"326","0.00184","0.461","0.645","0.988"
"327","0.00187","0.492","0.646","0.928"
"328","0.00191","0.552","0.74","0.949"
"329","0.00194","0.559","0.756","0.955"
"330","0.00198","0.545","0.746","0.968"
"331","0.00202","0.601","0.876","1.03"
"332","0.00205","0.573","0.863","1.06"
"333","0.00209","0.538","0.824","1.08"
"334","0.00213","0.55","0.85","1.09"
"335","0.00217","0.563","0.827","1.04"
"336","0.00221","0.463","0.624","0.953"
"337","0.00225","0.532","0.701","0.932"
"338","0.00229","0.42","0.551","0.928"
"339","0.00234","0.506","0.676","0.945"
"340","0.00238","0.475","0.689","1.03"
"341","0.00242","0.541","0.825","1.08"
"342","0.00247","0.516","0.812","1.11"
"343","0.00251","0.488","0.714","1.04"
"344","0.00256","0.475","0.667","0.994"
"345","0.00261","0.437","0.599","0.97"
"346","0.00266","0.47","0.606","0.911"
"347","0.00271","0.475","0.67","0.999"
"348","0.00276","0.449","0.645","1.02"
"349","0.00281","0.511","0.768","1.06"
"350","0.00286","0.417","0.606","1.03"
"351","0.00291","0.447","0.581","0.919"
"352","0.00297","0.477","0.619","0.919"
"353","0.00302","0.478","0.636","0.942"
"354","0.00308","0.49","0.714","1.03"
"355","0.00313","0.466","0.737","1.12"
"356","0.00319","0.472","0.734","1.1"
"357","0.00325","0.44","0.593","0.953"
"358","0.00331","0.414","0.544","0.928"
