Meas. Pts.	Shear Rate	Shear Stress	Viscosity
1	10	0.546	0.0546
2	13.5	0.697	0.0516
3	18.2	0.937	0.0514
4	24.6	1.25	0.0506
5	33.2	1.77	0.0532
6	44.9	2.38	0.0531
7	60.6	3.23	0.0533
8	81.8	4.36	0.0533
9	110	5.88	0.0532
10	149	7.94	0.0533
11	201	10.7	0.0533
12	272	14.5	0.0533
13	367	19.5	0.0532
14	495	26.4	0.0532
15	669	35.6	0.0532
16	903	48.1	0.0533
17	1,220	65	0.0533
18	1,650	87.8	0.0533
19	2,220	119	0.0534
20	3,000	160	0.0533
