"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.008818","0.01236","0.000004698","0.991"
"2","0.01999","0.028","0.000004788","0.9904"
"3","0.03083","0.04321","0.000004877","0.9911"
"4","0.0417","0.05845","0.000004971","0.9912"
"5","0.05232","0.07332","0.000005063","0.991"
"6","0.06292","0.08821","0.000005151","0.9914"
"7","0.07331","0.1027","0.000005249","0.9908"
"8","0.08369","0.1173","0.000005346","0.9909"
"9","0.09381","0.1314","0.000005444","0.9904"
"10","0.1039","0.1455","0.000005547","0.9905"
"11","0.1137","0.1592","0.000005648","0.9905"
"12","0.1235","0.173","0.000005757","0.9901"
"13","0.1331","0.1864","0.000005859","0.9903"
"14","0.1425","0.1995","0.000005967","0.9898"
"15","0.1513","0.2118","0.000006076","0.99"
"16","0.1597","0.2235","0.000006194","0.9897"
"17","0.1669","0.2336","0.000006307","0.9898"
"18","0.1728","0.242","0.000006424","0.99"
"19","0.1773","0.2481","0.000006543","0.9894"
"20","0.1802","0.2522","0.000006669","0.9896"
"21","0.1823","0.2549","0.000006793","0.9887"
"22","0.1833","0.2563","0.000006913","0.9887"
"23","0.184","0.2572","0.000007045","0.9884"
"24","0.1845","0.2578","0.000007176","0.9881"
"25","0.1847","0.2582","0.000007311","0.9885"
"26","0.1852","0.2587","0.000007439","0.9878"
"27","0.1853","0.2589","0.000007578","0.9881"
"28","0.1855","0.2592","0.000007723","0.9878"
"29","0.1859","0.2598","0.000007865","0.988"
"30","0.1866","0.2607","0.00000801","0.9877"
"31","0.1872","0.2616","0.000008156","0.9881"
"32","0.188","0.2627","0.00000831","0.9878"
"33","0.1887","0.2635","0.000008463","0.9875"
"34","0.1891","0.264","0.000008618","0.9872"
"35","0.1895","0.2648","0.000008778","0.9878"
"36","0.1903","0.2655","0.000008944","0.9867"
"37","0.1909","0.2662","0.000009111","0.9859"
"38","0.1912","0.2668","0.000009276","0.9867"
"39","0.1917","0.2672","0.000009447","0.9857"
"40","0.192","0.2677","0.000009627","0.9862"
"41","0.1925","0.2685","0.000009807","0.9862"
"42","0.1931","0.2693","0.000009986","0.9861"
"43","0.1936","0.2699","0.00001017","0.9859"
