"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"138","0.06239","0.08661","0.02278","0.9816"
"139","0.06257","0.08778","0.02237","0.9919"
"140","0.0636","0.08908","0.02196","0.9904"
"141","0.0645","0.09277","0.02156","1.017"
"142","0.0642","0.09332","0.02117","1.028"
"143","0.06502","0.09305","0.02078","1.012"
"144","0.06523","0.09417","0.02041","1.021"
"145","0.06603","0.09313","0.02003","0.9972"
"146","0.06802","0.09439","0.01967","0.9813"
"147","0.06768","0.09564","0.01931","0.9993"
"148","0.06803","0.09421","0.01896","0.9792"
"149","0.07027","0.09682","0.01861","0.9743"
"150","0.06974","0.09864","0.01828","1"
"151","0.07004","0.09811","0.01794","0.9906"
"152","0.07151","0.1005","0.01762","0.9942"
"153","0.07107","0.1032","0.0173","1.027"
"154","0.07203","0.1048","0.01698","1.029"
"155","0.07332","0.106","0.01667","1.022"
"156","0.07452","0.1068","0.01637","1.013"
"157","0.07386","0.1041","0.01607","0.9964"
"158","0.07486","0.1022","0.01578","0.9651"
"159","0.07757","0.1064","0.01549","0.9697"
"160","0.07598","0.1101","0.01521","1.025"
"161","0.07643","0.112","0.01493","1.036"
"162","0.07852","0.1101","0.01466","0.9916"
"163","0.0808","0.11","0.01439","0.963"
"164","0.07913","0.1126","0.01413","1.007"
"165","0.0793","0.1162","0.01387","1.036"
"166","0.08133","0.1139","0.01362","0.9899"
"167","0.0839","0.114","0.01337","0.9608"
"168","0.08153","0.1184","0.01313","1.027"
"169","0.0806","0.1169","0.01289","1.025"
"170","0.08296","0.1127","0.01266","0.9608"
"171","0.0851","0.1203","0.01243","0.9998"
"172","0.08539","0.1227","0.0122","1.016"
"173","0.08661","0.12","0.01198","0.98"
"174","0.08595","0.1249","0.01176","1.027"
"175","0.08774","0.1221","0.01155","0.9841"
"176","0.08963","0.1229","0.01134","0.9698"
"177","0.08878","0.1296","0.01113","1.032"
"178","0.08996","0.1245","0.01093","0.9783"
"179","0.08939","0.1306","0.01073","1.033"
"180","0.09044","0.1239","0.01053","0.9684"
"181","0.0927","0.1305","0.01034","0.9956"
"182","0.09342","0.131","0.01015","0.9918"
"183","0.09315","0.1323","0.009969","1.004"
"184","0.09067","0.1299","0.009787","1.013"
"185","0.0939","0.1299","0.009609","0.9785"
"186","0.09552","0.1357","0.009434","1.004"
"187","0.09764","0.1343","0.009263","0.9729"
"188","0.0977","0.1394","0.009094","1.009"
"189","0.09832","0.1403","0.008929","1.009"
"190","0.09456","0.1346","0.008766","1.006"
"191","0.09947","0.1418","0.008607","1.008"
"192","0.09944","0.1367","0.00845","0.9721"
"193","0.1013","0.1472","0.008296","1.027"
"194","0.1066","0.1449","0.008145","0.9606"
"195","0.102","0.1506","0.007997","1.044"
"196","0.1058","0.148","0.007851","0.989"
"197","0.1001","0.1433","0.007709","1.013"
"198","0.1051","0.1497","0.007568","1.007"
"199","0.1049","0.1424","0.00743","0.9597"
"200","0.1042","0.1527","0.007295","1.036"
"201","0.1108","0.1514","0.007162","0.9663"
"202","0.1092","0.154","0.007032","0.9975"
