"Meas. Pts.","Friction Factor","Frictional Force","Sliding Speed","Normal Force"
"1","0.00894","0.01274","0.000004701","1.008"
"2","0.01996","0.02845","0.000004784","1.008"
"3","0.03107","0.04428","0.000004873","1.008"
"4","0.04187","0.05967","0.000004968","1.008"
"5","0.05265","0.07498","0.000005058","1.007"
"6","0.06332","0.09021","0.000005151","1.007"
"7","0.07376","0.1051","0.000005247","1.008"
"8","0.08441","0.1202","0.000005347","1.007"
"9","0.09466","0.1348","0.000005442","1.007"
"10","0.105","0.1495","0.000005543","1.007"
"11","0.115","0.1638","0.000005652","1.007"
"12","0.1252","0.1784","0.000005754","1.007"
"13","0.1352","0.1924","0.00000586","1.006"
"14","0.145","0.2065","0.000005964","1.007"
"15","0.1544","0.2199","0.000006083","1.007"
"16","0.1632","0.2325","0.000006193","1.007"
"17","0.1708","0.2431","0.000006306","1.006"
"18","0.176","0.2505","0.000006424","1.006"
"19","0.1794","0.2554","0.000006547","1.007"
"20","0.1811","0.2579","0.000006669","1.007"
"21","0.1822","0.2593","0.000006789","1.006"
"22","0.1824","0.2598","0.000006915","1.007"
"23","0.1825","0.2599","0.000007047","1.007"
"24","0.1826","0.26","0.000007176","1.007"
"25","0.1824","0.2597","0.000007306","1.007"
"26","0.1824","0.2597","0.000007442","1.007"
"27","0.1826","0.26","0.000007584","1.007"
"28","0.1826","0.26","0.000007716","1.007"
"29","0.1829","0.2604","0.000007863","1.007"
"30","0.1832","0.2608","0.000008009","1.007"
"31","0.1831","0.2607","0.000008162","1.007"
"32","0.1831","0.2607","0.000008309","1.007"
"33","0.1834","0.2611","0.000008464","1.007"
"34","0.184","0.2621","0.000008621","1.007"
"35","0.1846","0.2627","0.000008782","1.006"
"36","0.185","0.2633","0.000008946","1.006"
"37","0.1854","0.2639","0.000009107","1.007"
"38","0.1858","0.2644","0.000009274","1.006"
"39","0.186","0.2648","0.000009451","1.007"
"40","0.1862","0.2651","0.000009625","1.007"
"41","0.1864","0.2654","0.000009803","1.007"
"42","0.1867","0.2657","0.00000998","1.006"
"43","0.187","0.2662","0.00001017","1.007"
"44","0.1877","0.2668","0.00001036","1.005"
"45","0.188","0.2672","0.00001055","1.005"
"46","0.1882","0.2675","0.00001075","1.005"
"47","0.1882","0.2675","0.00001095","1.005"
"48","0.1885","0.2679","0.00001115","1.005"
"49","0.189","0.2688","0.00001135","1.005"
"50","0.1898","0.2698","0.00001156","1.005"
"51","0.1904","0.2707","0.00001178","1.005"
"52","0.1906","0.271","0.000012","1.005"
"53","0.1912","0.2719","0.00001222","1.005"
"54","0.1917","0.2726","0.00001244","1.006"
"55","0.1919","0.2728","0.00001268","1.005"
"56","0.1923","0.2733","0.00001291","1.005"
"57","0.1926","0.2738","0.00001315","1.005"
"58","0.193","0.2744","0.0000134","1.005"
"59","0.1931","0.2744","0.00001365","1.005"
"60","0.1935","0.275","0.0000139","1.005"
"61","0.194","0.2759","0.00001415","1.005"
"62","0.1943","0.2762","0.00001442","1.005"
"63","0.1945","0.2764","0.00001468","1.005"
"64","0.1949","0.2769","0.00001496","1.005"
"65","0.195","0.2771","0.00001523","1.005"
