"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"252","0.000473","0.624","0.846","0.959"
"253","0.000481","0.616","0.841","0.966"
"254","0.00049","0.569","0.787","0.979"
"255","0.000499","0.59","0.816","0.977"
"256","0.000509","0.586","0.811","0.979"
"257","0.000518","0.529","0.731","0.978"
"258","0.000528","0.522","0.714","0.967"
"259","0.000537","0.467","0.638","0.966"
"260","0.000548","0.456","0.619","0.96"
"261","0.000557","0.542","0.735","0.959"
"262","0.000568","0.548","0.756","0.975"
"263","0.000579","0.542","0.75","0.979"
"264","0.000589","0.553","0.779","0.997"
"265","0.0006","0.536","0.769","1.02"
"266","0.000611","0.555","0.811","1.03"
"267","0.000622","0.539","0.792","1.04"
"268","0.000634","0.525","0.772","1.04"
"269","0.000646","0.533","0.788","1.05"
"270","0.000658","0.547","0.809","1.05"
"271","0.00067","0.508","0.754","1.05"
"272","0.000682","0.565","0.852","1.07"
"273","0.000695","0.554","0.816","1.04"
"274","0.000708","0.533","0.791","1.05"
"275","0.000721","0.555","0.81","1.03"
"276","0.000734","0.613","0.88","1.01"
"277","0.000748","0.569","0.8","0.995"
"278","0.000762","0.524","0.733","0.989"
"279","0.000776","0.445","0.636","1.01"
"280","0.00079","0.498","0.672","0.955"
"281","0.000805","0.526","0.72","0.967"
"282","0.00082","0.527","0.728","0.976"
"283","0.000835","0.537","0.719","0.947"
"284","0.000851","0.433","0.61","0.995"
"285","0.000866","0.423","0.59","0.985"
"286","0.000882","0.509","0.69","0.958"
"287","0.000899","0.573","0.756","0.933"
"288","0.000915","0.508","0.688","0.957"
"289","0.000933","0.567","0.79","0.985"
"290","0.000949","0.552","0.78","0.998"
"291","0.000967","0.521","0.753","1.02"
"292","0.000985","0.488","0.735","1.06"
"293","0.001","0.471","0.704","1.06"
"294","0.00102","0.534","0.772","1.02"
"295","0.00104","0.576","0.859","1.05"
"296","0.00106","0.553","0.828","1.06"
