"Meas. Pts.","Sliding Speed","Friction Factor","Frictional Force","Normal Force"
"1","0.00000469","0.0701","0.0959","0.967"
"2","0.00000483","0.0868","0.118","0.963"
"3","0.00000488","0.0973","0.134","0.977"
"4","0.00000496","0.109","0.15","0.973"
"5","0.00000507","0.122","0.167","0.972"
"6","0.00000516","0.127","0.175","0.972"
"7","0.00000526","0.13","0.178","0.973"
"8","0.00000534","0.129","0.178","0.979"
"9","0.00000544","0.13","0.18","0.984"
"10","0.00000555","0.131","0.183","0.988"
"11","0.00000566","0.132","0.184","0.988"
"12","0.00000575","0.131","0.184","0.987"
"13","0.00000586","0.13","0.181","0.987"
"14","0.00000597","0.13","0.181","0.987"
"15","0.00000608","0.129","0.179","0.986"
"16","0.00000619","0.125","0.174","0.985"
"17","0.00000631","0.125","0.175","0.984"
"18","0.00000642","0.124","0.173","0.984"
"19","0.00000656","0.122","0.169","0.982"
"20","0.00000667","0.118","0.164","0.98"
"21","0.00000679","0.117","0.162","0.979"
"22","0.00000692","0.116","0.161","0.978"
"23","0.00000705","0.114","0.158","0.977"
"24","0.00000718","0.112","0.154","0.975"
"25","0.00000732","0.109","0.15","0.974"
"26","0.00000743","0.105","0.144","0.971"
"27","0.00000758","0.102","0.141","0.974"
"28","0.00000772","0.0971","0.134","0.974"
"29","0.00000787","0.0942","0.13","0.975"
"30","0.000008","0.0927","0.127","0.971"
"31","0.00000816","0.0956","0.131","0.97"
"32","0.00000831","0.096","0.132","0.968"
"33","0.00000847","0.094","0.129","0.972"
"34","0.00000862","0.092","0.126","0.972"
"35","0.00000878","0.0907","0.125","0.971"
"36","0.00000894","0.0884","0.121","0.97"
"37","0.00000911","0.0885","0.121","0.968"
"38","0.00000929","0.0863","0.119","0.972"
"39","0.00000946","0.084","0.117","0.983"
"40","0.00000962","0.0835","0.116","0.98"
"41","0.0000098","0.0823","0.114","0.977"
"42","0.00000998","0.0832","0.115","0.976"
"43","0.0000102","0.0855","0.119","0.983"
"44","0.0000104","0.0861","0.12","0.984"
"45","0.0000106","0.0855","0.119","0.985"
"46","0.0000107","0.0864","0.12","0.985"
"47","0.0000109","0.0878","0.122","0.986"
"48","0.0000111","0.09","0.126","0.986"
"49","0.0000114","0.0929","0.13","0.988"
"50","0.0000116","0.0938","0.131","0.988"
"51","0.0000118","0.0961","0.134","0.989"
"52","0.000012","0.0978","0.137","0.991"
"53","0.0000122","0.1","0.141","0.993"
"54","0.0000124","0.1","0.141","0.994"
"55","0.0000127","0.0986","0.139","0.996"
"56","0.0000129","0.0971","0.137","0.996"
"57","0.0000131","0.0952","0.134","0.995"
"58","0.0000134","0.0925","0.13","0.994"
"59","0.0000137","0.0926","0.13","0.994"
"60","0.0000139","0.0881","0.124","0.994"
"61","0.0000142","0.0875","0.123","0.994"
"62","0.0000144","0.0826","0.116","0.992"
"63","0.0000147","0.0792","0.111","0.992"
"64","0.000015","0.079","0.111","0.992"
"65","0.0000152","0.0777","0.109","0.992"
"66","0.0000155","0.0761","0.107","0.992"
"67","0.0000158","0.0757","0.106","0.993"
"68","0.0000161","0.0759","0.107","0.994"
"69","0.0000164","0.075","0.105","0.993"
"70","0.0000167","0.075","0.105","0.993"
"71","0.000017","0.0769","0.108","0.994"
"72","0.0000173","0.0778","0.109","0.994"
"73","0.0000176","0.0762","0.107","0.995"
"74","0.000018","0.0755","0.106","0.996"
"75","0.0000183","0.0762","0.107","0.995"
"76","0.0000186","0.0766","0.108","0.997"
"77","0.000019","0.0759","0.107","0.997"
"78","0.0000193","0.0776","0.109","0.998"
"79","0.0000197","0.0762","0.108","1"
"80","0.0000201","0.0753","0.107","1"
"81","0.0000204","0.0751","0.106","1"
"82","0.0000208","0.0756","0.107","1"
"83","0.0000212","0.0763","0.108","1"
"84","0.0000216","0.0771","0.109","1"
"85","0.000022","0.0764","0.108","1"
"86","0.0000224","0.0753","0.107","1"
"87","0.0000228","0.0746","0.106","1"
"88","0.0000232","0.0775","0.11","1.01"
"89","0.0000237","0.0758","0.108","1.01"
"90","0.0000241","0.0773","0.11","1.01"
"91","0.0000246","0.0794","0.113","1.01"
"92","0.000025","0.0793","0.113","1.01"
"93","0.0000255","0.0789","0.113","1.01"
"94","0.000026","0.078","0.112","1.01"
"95","0.0000264","0.076","0.109","1.01"
"96","0.0000269","0.0761","0.109","1.01"
"97","0.0000274","0.0761","0.109","1.01"
"98","0.0000279","0.0756","0.109","1.02"
"99","0.0000284","0.0755","0.109","1.02"
"100","0.000029","0.0755","0.109","1.02"
"101","0.0000295","0.0767","0.111","1.02"
"102","0.0000301","0.0765","0.111","1.02"
"103","0.0000306","0.0774","0.112","1.03"
"104","0.0000312","0.0777","0.113","1.03"
"105","0.0000318","0.0768","0.112","1.03"
"106","0.0000324","0.0775","0.113","1.03"
"107","0.000033","0.0782","0.113","1.02"
"108","0.0000336","0.0794","0.115","1.02"
"109","0.0000342","0.0818","0.118","1.02"
"110","0.0000348","0.0823","0.12","1.03"
"111","0.0000354","0.0821","0.12","1.03"
"112","0.0000361","0.0811","0.118","1.03"
"113","0.0000368","0.0806","0.117","1.03"
"114","0.0000375","0.0796","0.116","1.03"
"115","0.0000382","0.0786","0.114","1.03"
"116","0.0000389","0.0779","0.113","1.02"
"117","0.0000396","0.0776","0.112","1.02"
"118","0.0000403","0.0778","0.112","1.02"
"119","0.0000411","0.0777","0.112","1.02"
"120","0.0000418","0.0775","0.112","1.02"
"121","0.0000426","0.0764","0.11","1.02"
"122","0.0000434","0.0781","0.113","1.02"
"123","0.0000442","0.0779","0.113","1.02"
"124","0.000045","0.0775","0.112","1.02"
"125","0.0000459","0.0793","0.115","1.02"
"126","0.0000467","0.0798","0.116","1.03"
"127","0.0000476","0.0814","0.118","1.02"
"128","0.0000484","0.081","0.117","1.02"
"129","0.0000494","0.0813","0.118","1.02"
"130","0.0000503","0.0816","0.118","1.02"
"131","0.0000512","0.0843","0.122","1.03"
"132","0.0000521","0.0819","0.119","1.03"
"133","0.0000531","0.0864","0.126","1.03"
"134","0.0000541","0.0909","0.132","1.02"
"135","0.0000551","0.0907","0.132","1.03"
"136","0.0000562","0.0841","0.122","1.02"
"137","0.0000572","0.0769","0.111","1.02"
"138","0.0000582","0.0721","0.103","1.01"
"139","0.0000593","0.0725","0.104","1.02"
"140","0.0000604","0.0736","0.106","1.02"
"141","0.0000615","0.0741","0.107","1.02"
"142","0.0000627","0.0746","0.108","1.02"
"143","0.0000638","0.0759","0.11","1.03"
"144","0.000065","0.0771","0.112","1.03"
"145","0.0000662","0.0782","0.114","1.03"
"146","0.0000675","0.0788","0.114","1.03"
"147","0.0000687","0.0793","0.115","1.03"
"148","0.00007","0.0773","0.112","1.03"
"149","0.0000713","0.0763","0.111","1.03"
"150","0.0000726","0.0763","0.111","1.03"
"151","0.0000739","0.0766","0.111","1.02"
"152","0.0000753","0.0779","0.113","1.02"
"153","0.0000767","0.0826","0.12","1.03"
"154","0.0000782","0.0863","0.126","1.03"
"155","0.0000796","0.0828","0.12","1.03"
"156","0.0000811","0.0773","0.112","1.02"
"157","0.0000825","0.0745","0.107","1.02"
"158","0.0000841","0.073","0.106","1.02"
"159","0.0000856","0.0746","0.108","1.02"
"160","0.0000872","0.0768","0.111","1.03"
"161","0.0000889","0.0778","0.113","1.03"
"162","0.0000905","0.0791","0.116","1.04"
"163","0.0000921","0.0785","0.115","1.04"
"164","0.0000939","0.0798","0.117","1.04"
"165","0.0000956","0.0795","0.117","1.04"
"166","0.0000974","0.0803","0.118","1.04"
"167","0.0000991","0.0788","0.115","1.03"
"168","0.000101","0.081","0.118","1.03"
"169","0.000103","0.0817","0.119","1.03"
"170","0.000105","0.0802","0.116","1.02"
"171","0.000107","0.0785","0.114","1.03"
"172","0.000109","0.0794","0.115","1.03"
"173","0.000111","0.0771","0.111","1.02"
"174","0.000113","0.0776","0.112","1.02"
"175","0.000115","0.0789","0.114","1.03"
"176","0.000117","0.0786","0.114","1.03"
"177","0.000119","0.077","0.111","1.02"
"178","0.000121","0.0753","0.109","1.03"
"179","0.000124","0.0749","0.109","1.03"
"180","0.000126","0.0734","0.107","1.03"
"181","0.000128","0.0737","0.107","1.03"
"182","0.000131","0.0739","0.108","1.04"
"183","0.000133","0.0752","0.11","1.03"
"184","0.000136","0.0764","0.112","1.03"
"185","0.000138","0.0752","0.11","1.03"
"186","0.000141","0.0763","0.112","1.04"
"187","0.000143","0.0783","0.114","1.03"
"188","0.000146","0.0772","0.112","1.03"
